Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,CalMass,AlignMasses,Abundance,sn,resolution,rel_abu,peak_index
180.364139209993,0,0,0,0,0,0,0,0,,None,181.371415676873,0,0,180.364139209993,180.364139209993,1335893.8,7.17,560137.1,0.00233555131840744,36
180.671943186072,0,0,0,0,0,0,0,0,,None,181.679219652952,0,0,180.671943186072,180.671943186072,1606099,9.14,350139.4,0.00280795272569038,37
182.053646078696,0,0,0,0,0,0,0,0,,None,183.060922545576,0,0,182.053646078696,182.053646078696,1359019.5,7.34,312270.4,0.00237598212145788,38
183.066287,9,12,4,0,0,0,0,0,CHO,Lignin,184.07356346688,-0.0249535017176555,1,183.066287,183.066287,4352987,29.1,614316.4,0.00761035385212541,39
185.0455515579,8,10,5,0,0,0,0,0,CHO,Lignin,186.05282802478,-0.0246880417293845,1,185.0455515579,185.0455515579,3213933.8,20.81,580080.1,0.0056189401611597,40
185.0819370642,9,14,4,0,0,0,0,0,CHO,Protein,186.08921353108,-0.0246832145452568,1,185.0819370642,185.0819370642,6349945,43.62,589432.8,0.0111016477631416,41
185.986626448473,6,5,4,1,0,1,0,0,CHONS,Tannin,186.993902915353,0.135987038220312,1,185.986626448473,185.986626448473,1962892.4,11.7,693979.9,0.00343173681374369,42
186.5570066221,0,0,0,0,0,0,0,0,,None,187.56428308898,0,0,186.5570066221,186.5570066221,1366578.3,7.35,607677.5,0.00238919721782675,43
187.0612016221,8,12,5,0,0,0,0,0,CHO,AminoSugar,188.06847808898,-0.0244234442093617,1,187.0612016221,187.0612016221,9851072,68.93,599555.1,0.0172226895561059,44
187.0975726221,9,16,4,0,0,0,0,0,CHO,Protein,188.10484908898,0.05269943886195,1,187.0975726221,187.0975726221,3466954,22.59,565249.4,0.00606129692761352,45
188.52988818,0,0,0,0,0,0,0,0,,None,189.53716464688,0,0,188.52988818,188.52988818,1342147.3,7.17,457596.8,0.00234648435078596,46
188.95159718,0,0,0,0,0,0,0,0,,None,189.95887364688,0,0,188.95159718,188.95159718,1564075.6,8.78,672425.6,0.00273448295790347,47
189.04046618,7,10,6,0,0,0,0,0,CHO,Tannin,190.04774264688,-0.0241690846635329,1,189.04046618,189.04046618,3228097.3,20.85,617779.3,0.00564370229501964,48
189.0768516863,8,14,5,0,0,0,0,0,CHO,AminoSugar,190.08412815318,-0.0241644582678899,1,189.0768516863,189.0768516863,4145354.3,27.51,619924.1,0.0072473483301075,49
190.081258479448,0,0,0,0,0,0,0,0,,None,191.088534946328,0,0,190.081258479448,190.081258479448,1330933.3,7.06,462484.8,0.00232687884585389,50
191.034999724628,10,8,4,0,0,0,0,0,CHO,Lignin,192.042276191508,-0.0908461866943935,1,191.034999724628,191.034999724628,1825413.9,10.64,677429.1,0.00319138230957002,51
193.053996892887,7,14,4,0,0,1,0,0,CHOS,AminoSugar,194.061273359767,0.0322992476757999,1,193.053996892887,193.053996892887,2045075,12.2,528915.1,0.00357541715703157,52
196.025139310936,8,7,5,1,0,0,0,0,CHON,Lignin,197.032415777816,0.0333071290765986,1,196.025139310936,196.025139310936,1580279.6,8.84,393624.8,0.0027628125104199,53
197.0455515579,9,10,5,0,0,0,0,0,CHO,Lignin,198.05282802478,-0.0231921958800359,1,197.0455515579,197.0455515579,4557957.5,30.27,541334,0.00796870503356636,54
197.081524911209,0,0,0,0,0,0,0,0,,None,198.088801378089,0,0,197.081524911209,197.081524911209,1709706.1,9.75,842228.8,0.00298908965364181,55
197.0819370642,10,14,4,0,0,0,0,0,CHO,Lignin,198.08921353108,-0.0231879360248295,1,197.0819370642,197.0819370642,6867082,46.91,599033.3,0.0120057615498418,56
198.216820916424,0,0,0,0,0,0,0,0,,None,199.224097383304,0,0,198.216820916424,198.216820916424,1504410,8.27,600657.1,0.00263016922372522,57
199.0248161158,8,8,6,0,0,0,0,0,CHO,Tannin,200.03209258268,-0.0229627152465408,1,199.0248161158,199.0248161158,2541176.3,15.74,648289.3,0.00444275410049118,58
199.0612016221,9,12,5,0,0,0,0,0,CHO,Lignin,200.06847808898,-0.0229585391263031,1,199.0612016221,199.0612016221,12538236,87.76,563912.8,0.0219206748472848,59
199.0975871284,10,16,4,0,0,0,0,0,CHO,Protein,200.10486359528,-0.0229543646668057,1,199.0975871284,199.0975871284,8023424.5,55.23,562422.6,0.0140274022299659,60
200.056441609837,8,11,5,1,0,0,0,0,CHON,Lignin,201.063718076717,0.0218442366532611,1,200.056441609837,200.056441609837,1671911.6,9.45,658080.4,0.00292301329764439,61
201.04046618,8,10,6,0,0,0,0,0,CHO,Tannin,202.04774264688,-0.0227336367235414,1,201.04046618,201.04046618,15131209,106.16,563138.6,0.0264539854358547,62
201.0768516863,9,14,5,0,0,0,0,0,CHO,AminoSugar,202.08412815318,-0.02272954350311,1,201.0768516863,201.0768516863,14248524,99.82,576151.4,0.0249107818402631,63
201.1132276863,10,18,4,0,0,0,0,0,CHO,Protein,202.12050415318,0.0243073805273185,1,201.1132276863,201.1132276863,4072015.8,26.69,540627,0.00711913018105626,64
202.04381727634,7,10,6,0,1,0,0,0,CHO,Tannin,203.05109374322,-0.00419510401938178,0,202.04381727634,202.04381727634,1577379.6,8.77,653863.6,0.00275774242264543,65
202.072122200008,8,13,5,1,0,0,0,0,CHON,AminoSugar,203.079398666888,-0.128688029068702,1,202.072122200008,202.072122200008,2200486,13.25,566028.4,0.00384712316086587,66
203.0561162442,8,12,6,0,0,0,0,0,CHO,Carb,204.06339271108,-0.0225090836779779,1,203.0561162442,203.0561162442,20484856,144.63,550287.7,0.0358137992991558,67
203.0925017505,9,16,5,0,0,0,0,0,CHO,AminoSugar,204.09977821738,-0.0225050709131766,1,203.0925017505,203.0925017505,3645690.3,23.63,515463.2,0.00637378269640163,68
204.05941964107,7,12,6,0,1,0,0,0,CHO,Carb,205.06669610795,0.228450795217881,0,204.05941964107,204.05941964107,1965891.5,11.53,618361.9,0.00343698015865556,69
