peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
1	0	147.06618	11556565	3.422E-04	8.3	-1
2	0	147.06639	8487396	4.2475E-04	8.28	-1
3	0	157.12329	14936405	4.4364E-04	7.13	-1
4	0	168.94865	9766984	1.5007E-04	16.62	-1
5	0	168.94889	9476538	1.7702E-04	8.04	-1
6	0	171.13918	5918512	3.6676E-04	10.02	-1
7	0	179.03498	6846570	4.2424E-04	8.76	-1
8	0	181.01438	7371059	4.9873E-04	7.89	-1
9	0	181.05056	6931908	1.7487E-04	7.36	-1
10	0	185.04547	7212218	5.6901E-04	8.15	-1
11	0	189.04066	7258198	2.3831E-04	12.05	-1
12	0	191.94464	14602735	1.8506E-04	9.2	-1
13	0	195.03003	11452574	2.7293E-04	9.27	-1
14	0	197.04582	10132884	3.487E-04	9.65	-1
15	0	199.02502	8704132	3.8332E-04	8.72	-1
16	0	199.06139	11961741	2.4821E-04	10.58	-1
17	0	200.98653	11130445	2.9386E-04	10.07	-1
18	0	201.0771	6389467	5.7926E-04	9.58	-1
19	0	203.01995	7352047	2.3618E-04	26.98	-1
20	0	203.05634	7316566	3.9645E-04	9.66	-1
21	0	205.01445	13286178	2.5802E-04	10.91	-1
22	0	205.05062	6380789	5.9761E-04	8.7	-1
23	0	205.05086	8912323	5.057E-04	7.37	-1
24	0	205.08725	8158167	2.2978E-04	8.96	-1
25	0	207.03015	16921652	4.418E-04	8.13	-1
26	0	209.02758	7319210	4.5349E-04	7.38	-1
27	0	209.04576	19666354	2.7325E-04	7.31	-1
28	0	210.01719	6918203	5.3448E-04	18.31	-1
29	0	210.05359	7017875	3.8882E-04	8.89	-1
30	0	211.80189	6578643	1.6253E-04	14.16	-1
31	0	213.00424	9892963	4.4018E-04	10.58	-1
32	0	213.07704	22231376	3.8162E-04	11.63	-1
33	0	214.0198	6651714	5.5543E-04	12.86	-1
34	0	215.01994	9054305	6.3755E-04	12.05	-1
35	0	215.09274	10288202	5.6897E-04	7.84	-1
36	0	217.01449	7110974	3.7983E-04	11.03	-1
37	0	217.02513	7980860	4.2173E-04	11.18	-1
38	0	218.05106	7297230	4.3118E-04	9.27	-1
39	0	219.03016	17916144	5.7218E-04	15.08	-1
40	0	220.01975	7719766	4.5726E-04	22.98	-1
41	0	220.04852	6469098	3.6165E-04	39.14	-1
42	0	221.02765	8498697	5.7848E-04	9.04	-1
43	0	221.04577	18272624	4.6914E-04	22.63	-1
44	0	221.08217	17063086	4.8407E-04	7.72	-1
45	0	222.03539	8810719	5.8687E-04	8.86	-1
46	0	223.02507	31440908	4.4076E-04	9.25	-1
47	0	223.06144	25566816	5.6968E-04	10.16	-1
48	0	224.05106	7547967	2.6343E-04	8.16	-1
49	0	226.04846	6866735	7.4599E-04	13.62	-1
50	0	227.02767	7268045	5.256E-04	7.97	-1
51	0	227.09275	31480152	5.1363E-04	7.75	-1
52	0	227.20193	34753676	6.0469E-04	7.6	-1
53	0	228.01726	8934658	4.8825E-04	13.13	-1
54	0	229.02512	10685372	4.461E-04	7.14	-1
55	0	229.03568	21361120	4.7782E-04	13.04	-1
56	0	229.07202	26797126	5.2752E-04	14.58	-1
57	0	230.01477	8700951	4.3976E-04	9.69	-1
58	0	230.05118	7686185	5.0106E-04	16.79	-1
59	0	231.03019	13370094	5.0764E-04	11.46	-1
60	0	231.04076	10243480	4.6152E-04	18.67	-1
61	0	231.05886	6097208	5.8999E-04	10.44	-1
62	0	231.08776	7282028	6.6294E-04	11.49	-1
63	0	232.03039	10201629	3.865E-04	7.45	-1
64	0	232.04857	10270780	3.9065E-04	8.0	-1
65	0	233.03056	9987504	4.9241E-04	17.54	-1
66	0	233.03819	8497095	4.3899E-04	7.45	-1
67	0	233.0458	21410736	4.7035E-04	7.64	-1
68	0	234.01732	10870598	4.4141E-04	14.43	-1
69	0	234.04602	6540680	4.5276E-04	7.65	-1
70	0	234.06425	6264417	5.0811E-04	8.21	-1
71	0	234.9887	8911564	4.3039E-04	31.91	-1
72	0	235.04331	6966543	4.1443E-04	9.59	-1
73	0	235.0615	24603894	4.679E-04	11.07	-1
74	0	235.09784	25536486	3.8691E-04	11.64	-1
75	0	235.13421	8327973	3.8522E-04	7.8	-1
76	0	236.01476	8378694	3.9587E-04	9.88	-1
77	0	237.00434	18439890	4.8108E-04	20.74	-1
78	0	237.07712	35836448	4.7126E-04	12.0	-1
79	0	238.03045	10968625	5.2267E-04	11.86	-1
80	0	239.02005	33990532	5.2074E-04	7.46	-1
81	0	239.03821	10223955	4.4096E-04	18.47	-1
82	0	239.05642	44526096	4.1321E-04	10.55	-1
83	0	239.07464	5990281	4.4316E-04	7.89	-1
84	0	239.09278	58644548	4.5528E-04	10.13	-1
85	0	239.12916	20787520	3.4804E-04	8.3	-1
86	0	240.01726	6088117	6.6278E-04	45.34	-1
87	0	240.04608	8132828	4.1963E-04	7.73	-1
88	0	240.99933	14913698	4.2217E-04	9.88	-1
89	0	241.02508	7908376	4.503E-04	10.53	-1
90	0	241.03567	37694988	4.4332E-04	12.55	-1
91	0	241.04335	6357104	7.9954E-04	7.54	-1
92	0	241.07206	64328260	5.0022E-04	8.3	-1
93	0	241.2176	21613024	4.5256E-04	8.06	-1
94	0	242.03294	11172661	4.4811E-04	17.27	-1
95	0	242.05107	7824945	4.3026E-04	28.25	-1
96	0	242.97853	7673036	4.6496E-04	7.02	-1
97	0	243.01498	9903098	4.6288E-04	8.59	-1
98	0	243.05131	40315480	5.1338E-04	11.59	-1
99	0	243.08773	46087768	4.8978E-04	11.36	-1
100	0	244.01215	8983292	4.8128E-04	10.08	-1
101	0	244.03809	6123243	7.8747E-04	9.4	-1
102	0	244.04862	11384749	3.7572E-04	53.55	-1
103	0	245.00946	9315226	5.5879E-04	7.42	-1
104	0	245.02008	13508252	4.0588E-04	10.53	-1
105	0	245.03824	14321025	5.2528E-04	15.76	-1
106	0	245.0459	18194232	5.3847E-04	11.87	-1
107	0	245.10337	14291531	4.6567E-04	13.04	-1
108	0	246.02793	14940210	4.9612E-04	7.39	-1
109	0	247.02516	29499622	5.0107E-04	9.44	-1
110	0	247.03578	9250403	5.2861E-04	7.81	-1
111	0	247.05393	7973373	4.6497E-04	10.43	-1
112	0	247.06158	23519738	5.6605E-04	17.12	-1
113	0	247.07207	7804286	3.524E-04	11.09	-1
114	0	247.13434	6097396	7.9583E-04	23.93	-1
115	0	248.01479	6988506	6.2034E-04	24.6	-1
116	0	248.04351	6111810	4.9868E-04	20.03	-1
117	0	248.06176	7658831	3.879E-04	19.56	-1
118	0	249.00449	17835298	5.6074E-04	22.77	-1
119	0	249.04079	31463430	5.1339E-04	13.75	-1
120	0	249.07718	31206506	5.4265E-04	7.11	-1
121	0	249.11357	22501296	5.5141E-04	8.9	-1
122	0	250.03041	11862002	5.9407E-04	16.29	-1
123	0	250.04862	11378597	4.7593E-04	8.66	-1
124	0	250.98374	8344834	6.1529E-04	7.19	-1
125	0	251.02013	39686532	5.0846E-04	8.26	-1
126	0	251.05651	35727952	5.6208E-04	9.04	-1
127	0	251.09286	59878604	5.6311E-04	8.95	-1
128	0	251.12922	22181560	5.0496E-04	10.13	-1
129	0	252.99939	23480076	5.0989E-04	7.28	-1
130	0	253.01756	10632313	4.6332E-04	11	-1
131	0	253.03574	47986612	5.4497E-04	8.66	-1
132	0	253.07212	83192224	5.0606E-04	11.17	-1
133	0	253.10852	71895632	6.0356E-04	7.48	-1
134	0	253.21767	14759727	5.5423E-04	8.44	-1
135	0	254.00726	6053212	2.4235E-04	11.21	-1
136	0	254.04358	9817391	7.4262E-04	8.37	-1
137	0	254.06739	7216854	3.7622E-04	35.65	-1
138	0	254.07553	11084867	5.3567E-04	8.56	-1
139	0	254.11183	11387064	6.0014E-04	12.23	-1
140	0	255.01501	21624444	6.3805E-04	13.55	-1
141	0	255.0333	7906588	6.9505E-04	10.37	-1
142	0	255.04083	9508859	4.251E-04	14.83	-1
143	0	255.05896	6594633	4.1192E-04	9.39	-1
144	0	255.08776	124814384	5.595E-04	17.36	-1
145	0	255.12418	40975276	5.081E-04	14.55	-1
146	0	255.16055	26035430	6.0803E-04	15.14	-1
147	0	255.23328	625110784	4.4035E-04	34.96	-1
148	0	256.09116	16420094	5.7941E-04	18.62	-1
149	0	256.23668	89420104	6.2128E-04	24.11	-1
150	0	257.03069	28720708	5.8816E-04	9.43	-1
151	0	257.03826	15924878	5.5098E-04	13.0	-1
152	0	257.06705	78346784	5.8397E-04	11.1	-1
153	0	257.10346	58600608	6.6244E-04	9.21	-1
154	0	257.23996	8398604	4.9026E-04	12.91	-1
155	0	258.01741	6404188	5.3266E-04	11.75	-1
156	0	258.02793	18447770	5.6568E-04	9.65	-1
157	0	258.04614	14825003	4.201E-04	12.48	-1
158	0	259.02524	21645160	4.7302E-04	13.78	-1
159	0	259.03576	17281102	5.9586E-04	15.43	-1
160	0	259.04635	34694108	5.81E-04	24.48	-1
161	0	259.05384	9903612	7.5853E-04	11.8	-1
162	0	259.06157	23938450	4.8741E-04	14.34	-1
163	0	259.08268	33201210	6.2275E-04	7.35	-1
164	0	259.09796	14081513	6.6944E-04	8.67	-1
165	0	260.01488	6856222	2.5784E-04	8.71	-1
166	0	260.02535	13560548	6.1159E-04	54.93	-1
167	0	260.0331	11268402	5.9976E-04	12.86	-1
168	0	260.04355	10387587	5.6808E-04	7.35	-1
169	0	260.06181	8060648	6.6096E-04	9.0	-1
170	0	261.00442	12870918	5.0651E-04	8.12	-1
171	0	261.02267	8979404	3.7548E-04	8.51	-1
172	0	261.0256	9138830	7.4066E-04	11.66	-1
173	0	261.04088	33221640	5.9069E-04	8.68	-1
