ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
153,163.975782178955,1336717.8,7.97,0.000200933605520551,161,C6H6OCl2,164.982925,163.97564853312,0.06489437,1,-1,0.815034649012903
287,221.058605487819,10638072,75.2,0.00159910054519153,505,C9H15O4Cl,222.0658866,221.05861013312,1,0,-1,-0.0210138897430885
290,222.061990488583,1461125.8,8.13,0.000219634447235684,505,C9H15O4Cl,223.0692415,222.06196503312,0.09734155,1,-1,0.114632250509473
292,223.055659490378,3843590.5,25.54,0.000577763307490584,505,C9H15O4Cl,224.0629365,223.05566003312,0.3199578,2,-1,-0.00243321502932442
289,221.094961487828,1644806.4,9.48,0.00024724506573884,507,C10H19O3Cl,222.1022721,221.09499563312,1,0,-1,-0.15443719949782
311,226.066451502123,1433437.1,7.88,0.000215472319430416,524,C10H18OCl2,227.0738753,226.06659883312,0.06921153,3,-1,-0.651715014827477
294,223.110618490507,1504795.5,8.45,0.000226198817271753,527,C10H21O3Cl,224.1179222,223.11064573312,1,0,-1,-0.122103599623732
363,238.066513643172,1491411.1,8.15,0.000224186892428881,640,C11H18OCl2,239.0738753,238.06659883312,0.07613268,3,-1,-0.357840824369281
351,235.0742505939,6960538,47.57,0.00104629862541129,641,C10H17O4Cl,236.0815367,235.07426023312,1,0,-1,-0.0410049988436971
356,237.071330625745,1897671.1,11.12,0.000285255344258265,641,C10H17O4Cl,238.0785866,237.07131013312,0.3199578,2,-1,0.0864407641112681
374,240.045752680911,2148565.8,12.85,0.000322969495051347,656,C10H16O2Cl2,241.0531399,240.04586343312,0.06921153,3,-1,-0.461379370754636
358,237.089931626061,1629132.3,9.19,0.000244888956299518,660,C10H19O4Cl,238.0971868,237.08991033312,1,0,-1,0.0898095636702348
424,250.981536963312,3212924.3,20.23,0.000482962420238282,755,C12H5O4Cl,251.9889326,250.98165613312,0.002630045,4,-1,-0.474814811554564
406,247.11082684905,1364818,7.19,0.000205157589447337,765,C12H21O3Cl,248.1179222,247.11064573312,1,0,-1,0.732934550587325
414,249.03221990381,17280748,119.85,0.00259761858616086,786,C13H11O3Cl,250.0396719,249.03239543312,1,0,-1,-0.704845287607618
421,250.035600933941,2839483.8,17.58,0.000426827351106715,786,C13H11O3Cl,251.0430267,250.03575023312,0.1406045,1,-1,-0.597111327898819
418,249.089928905514,108900088,768.66,0.0163697134304229,791,C11H19O4Cl,250.0971868,249.08991033312,1,0,-1,0.0745610051336732
422,250.093261935705,12758984,87.83,0.00191791315855824,791,C11H19O4Cl,251.1005416,250.09326513312,0.118973,1,-1,-0.0127848915890352
429,251.086951966643,34373776,240.89,0.00516701935669278,791,C11H19O4Cl,252.0942367,251.08696023312,0.3199578,2,-1,-0.032922763737831
