mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
1585,C15H25O4Cl,HCOCl,15,25,4,0,1,304.144137,303.13686053312,3,5.6,0.535714285714286,3,0,0,0,0.212265002541244,0.126698698640556,0.101750448346138,1.48219369351864,1.56293424859177,0.948340401942127,0.130299110009182
1624,C15H27O4Cl,HCOCl,15,27,4,0,1,306.159787,305.15251053312,2,5.6,0.357142857142857,2,0,0,0,0.332251059822738,0.205101718758354,0.162235900759697,1.31995779275894,1.55853521451354,0.846922020411926,0.0710273139848016
1741,C18H29O2Cl,HCOCl,18,29,2,0,1,312.1856078,311.17833133312,3,5.6,0.535714285714286,3,0,0,0,1.57809552596882,0.981043933393526,0.680042207241058,1.38224816322327,1.60676538315602,0.860267577154449,-0.843809560456282
1778,C17H27O3Cl,HCOCl,17,27,3,0,1,314.1648724,313.15759593312,2,5.6,0.357142857142857,2,0,0,0,0.317213223315775,0.205216976822805,0.183867394924164,1.31995779275894,1.58981954585761,0.83025636223821,0.108615990118376
1891,C15H25O5Cl,HCOCl,15,25,5,0,1,320.1390516,319.13177513312,2,5.6,0.357142857142857,2,0,0,0,0.231229382567108,0.170890283134742,0.162235900759697,1.31995779275894,1.56059021037072,0.845806787705906,-0.0551192772088123
1896,C18H37O2Cl,HCOCl,18,37,2,0,1,320.2482081,319.24093163312,4,5.6,0.714285714285714,4,0,0,0,0.0245217462070286,0.016707283008468,0.0154947489500046,1.57693126797676,1.61131526704412,0.978660911510859,-0.134942227745486
1974,C14H25O6Cl,HCOCl,14,25,6,0,1,324.1339662,323.12668973312,3,5.6,0.535714285714286,3,0,0,0,0.132930442225188,0.0827473684627489,0.0651806890964508,1.47137799859047,1.5519071619492,0.948109548474802,-0.0859448962759225
2099,C17H27O4Cl,HCOCl,17,27,4,0,1,330.159787,329.15251053312,3,5.6,0.535714285714286,3,0,0,0,0.303929016925395,0.185385586523604,0.152244329452515,1.50382518768311,1.59650359896477,0.941949137263603,-0.0695943472567004
2143,C16H25O5Cl,HCOCl,16,25,5,0,1,332.1390516,331.13177513312,2,5.6,0.357142857142857,2,0,0,0,0.837646436877549,0.561306847342557,0.457827985286713,1.17305169999599,1.55765011068434,0.753090627959207,0.0595509698512699
2236,C15H25O6Cl,HCOCl,15,25,6,0,1,336.1339662,335.12668973312,2,5.6,0.357142857142857,2,0,0,0,0.262069966178387,0.175968263760769,0.162235900759697,1.31995779275894,1.56266025872901,0.844686351614604,-0.332445664634441
2279,C18H23O4Cl,HCOCl,18,23,4,0,1,338.1284869,337.12121043312,2,5.7,0.350877192982456,2,0,0,0,1.47068262891844,0.912012590861313,0.805316925048828,1.19468310475349,1.5868268586928,0.752875525271643,-0.370403337313008
2456,C17H27O5Cl,HCOCl,17,27,5,0,1,346.1547016,345.14742513312,2,5.6,0.357142857142857,2,0,0,0,0.488626615144312,0.30870302694315,0.240839123725891,1.31995779275894,1.593929534778,0.828115524531506,0.134549645803241
2544,C16H27O6Cl,HCOCl,16,27,6,0,1,350.1496163,349.14233983312,2,5.6,0.357142857142857,2,0,0,0,0.356531468220055,0.219805592952482,0.173051699995995,1.31995779275894,1.57923771161586,0.835819574881082,-0.0393323215963663
2628,C17H19O6Cl,HCOCl,17,19,6,0,1,354.087016,353.07973953312,2,5.6,0.357142857142857,2,0,0,0,1.691071764566,1.00651549702546,0.816132605075836,1.18386739492416,1.57221608934924,0.752992799745601,-0.240443944735171
2631,C18H23O5Cl,HCOCl,18,23,5,0,1,354.1234015,353.11612503312,2,5.7,0.350877192982456,2,0,0,0,1.71762622194365,1.01476496941627,0.805316925048828,1.19468310475349,1.58720778371207,0.752694837445564,-0.00960261669942067
