8875	8	3	0.001																																																															
id	mf	name	m_mj0	p_mj0	m_mj1	p_mj1	m_mj2	p_mj2	m_mj3	p_mj3	m_mj4	p_mj4	m_mj5	p_mj5	m_mj6	p_mj6	m_mj7	p_mj7	m_mn0_0	p_mn0_0	m_mn0_1	p_mn0_1	m_mn0_2	p_mn0_2	m_mn1_0	p_mn1_0	m_mn1_1	p_mn1_1	m_mn1_2	p_mn1_2	m_mn2_0	p_mn2_0	m_mn2_1	p_mn2_1	m_mn2_2	p_mn2_2	m_mn3_0	p_mn3_0	m_mn3_1	p_mn3_1	m_mn3_2	p_mn3_2	m_mn4_0	p_mn4_0	m_mn4_1	p_mn4_1	m_mn4_2	p_mn4_2	m_mn5_0	p_mn5_0	m_mn5_1	p_mn5_1	m_mn5_2	p_mn5_2	m_mn6_0	p_mn6_0	m_mn6_1	p_mn6_1	m_mn6_2	p_mn6_2	m_mn7_0	p_mn7_0	m_mn7_1	p_mn7_1	m_mn7_2	p_mn7_2
11	C3H3OCl		89.9872424	1	90.99059723	0.03244719	91.98429231	0.3199578	92.98764714	0.01038173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.99148878	0.002054994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	C2HO2Cl		91.96650695	1	92.96986179	0.02163146	93.96355686	0.3199578	94.9669117	0.006921153	95.96780324	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93.97075333	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	C3H5OCl		92.00289246	1	93.0062473	0.03244719	93.99994237	0.3199578	95.00329721	0.01038173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.00713884	0.002054994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	C2H3O2Cl		93.98215702	1	94.98551185	0.02163146	95.97920693	0.3199578	96.98256176	0.006921153	97.98345331	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.9864034	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	C2H3ClO2		93.98215702	1	94.98551185	0.02163146	95.97920693	0.3199578	96.98256176	0.006921153	97.98345331	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.9864034	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	C3H7OCl		94.01854252	1	95.02189736	0.03244719	96.01559243	0.3199578	97.01894727	0.01038173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.0227889	0.002054994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	CHO3Cl		95.96142157	1	96.96477641	0.01081573	97.95847148	0.3199578	98.96182632	0.003460576	99.96271786	0.001972534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96.96563865	0.001142777	0	0	0	0	97.96566795	0.006164981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	C2H5O2Cl		95.99780708	1	97.00116192	0.02163146	97.99485699	0.3199578	98.99821183	0.006921153	99.99910337	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.00205346	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	C3H9OCl		96.03419259	1	97.03754743	0.03244719	98.0312425	0.3199578	99.03459734	0.01038173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.04046933	0.001035119	0	0	0	0	98.03843897	0.002054994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	CH3O3Cl		97.97707163	1	98.98042647	0.01081573	99.97412154	0.3199578	100.9774764	0.003460576	101.9783679	0.001972534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.98128872	0.001142777	0	0	0	0	99.98131802	0.006164981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
