ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
570,276.07460876884,2486199.3,14.58,0.000373722104539694,1071,C9H17O7Cl,276.0675769,276.07485336688,0.004602578,4,-1,-0.885984495673231
570,276.07460876884,2486199.3,14.58,0.000373722104539694,1072,C14H18OCl2,276.0675704,276.07484686688,0.102373,4,-1,-0.862440176810224
568,275.971252428366,1531429.5,8.03,0.000230202404004446,1112,C9H12OCl4,275.9642257,275.97150216688,0.7813531,0,-1,-0.904943125332104
599,282.069921273117,1504212,7.84,0.000226111106343672,1186,C18H13OCl,282.0625426,282.06981906688,0.3199578,2,-1,0.362343753092216
613,284.062361121223,2364739,13.63,0.000355464357087982,1215,C15H16OCl2,284.0548704,284.06214686688,0.6399155,2,-1,0.75425164930492
614,284.072086234574,2292037,13.14,0.000344535891118161,1215,C15H16OCl2,284.0645302,284.07180666688,0.0122829,2,2,0.984144458106597
618,285.05603746256,7015422.5,45.29,0.00105454878896278,1244,C13H13O5Cl,285.048506,285.05578246688,0.1406045,1,-1,0.894546595023174
644,288.056366741662,1677894.4,8.95,0.000252218808992251,1244,C13H13O5Cl,288.0489108,288.05618726688,0.002919435,4,2,0.623054770688581
646,288.092785245114,1648205.8,8.75,0.00024775605893322,1248,C14H17O4Cl,288.0852963,288.09257276688,0.003406007,4,-1,0.737534578131389
622,285.11325409927,1452041.1,7.42,0.000218268847461317,1250,C11H21O6Cl,285.1060209,285.11329736688,0.118973,1,-1,-0.151755846075647
669,291.118261908318,6883516,43.65,0.00103472078290452,1338,C17H19O2Cl,291.1107124,291.11798886688,0.1838674,1,-1,0.937906445122696
721,298.942878746481,2514876.8,14.14,0.000378032867418976,1389,C8H10O3Cl4,298.9358596,298.94313606688,0.04152691,5,-1,-0.860767041144118
693,295.097603470512,1811753.8,9.69,0.00027234037232807,1410,C12H19O6Cl,295.0903708,295.09764726688,0.1297887,1,-1,-0.148413139109662
694,295.100579831148,1470506.4,7.4,0.00022104452629646,1410,C12H19O6Cl,295.0932928,295.10056926688,0.002185251,1,2,0.0357988742355885
697,295.149409618852,1731893.6,9.15,0.000260335895449262,1413,C17H23O2Cl,295.1420125,295.14928896688,0.1838674,1,-1,0.408782863823235
687,294.182585095735,8039257.5,51.38,0.00120845027662767,1415,C18H27OCl,294.1750432,294.18231966688,1,0,-1,0.902259712379633
