mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
3547,C14H10O9Cl2,HCOCl,14,10,9,0,2,391.9701873,391.97746376688,2,8,0.25,2,0,0,0,0.650306381750852,0.350272021231224,0.282222330570221,1.63991552591324,2.03713969653472,0.805008870379787,0.334104123662482
3672,C23H18O2Cl2,HCOCl,23,18,2,0,2,396.0683852,396.07566166688,2,7.9,0.253164556962025,2,0,0,0,1.18776694010012,0.558090024041372,0.360084474086761,1.63991552591324,2.21243893890642,0.7412252139821,0.724523484300979
3729,C23H20O2Cl2,HCOCl,23,20,2,0,2,398.0840352,398.09131166688,2,7.9,0.253164556962025,2,0,0,0,1.54227128694765,0.801215066039811,0.643369317054749,1.63991552591324,2.21243893890642,0.7412252139821,0.489278405728059
3835,C21H19O6Cl,HCOCl,21,19,6,0,1,402.087016,402.09429246688,2.2,5.7,0.385964912280702,2,2,0,0,1.73775087017566,1.0033039148429,0.717463374137878,1.22713029384613,1.63209100766107,0.751876144213743,-0.0374041911119305
3841,C22H23O5Cl,HCOCl,22,23,5,0,1,402.1234015,402.13067796688,2.2,5.7,0.385964912280702,2,2,0,0,1.783532589674,1.03358959172788,0.758405923843384,1.23794600367546,1.64723242470063,0.751530861772858,0.100888635854969
3894,C21H21O6Cl,HCOCl,21,21,6,0,1,404.1026661,404.10994256688,2.1,5.7,0.368421052631579,2,1,0,0,1.42182428855449,0.878092553042492,0.776908218860626,1.22713029384613,1.63232103455812,0.751770189727614,0.125041899151394
3900,C22H25O5Cl,HCOCl,22,25,5,0,1,404.1390516,404.14632806688,2.1,5.7,0.368421052631579,2,1,0,0,1.35207650065422,0.85433273981305,0.767705678939819,1.23794600367546,1.64746245183051,0.751425929191874,0.264371363317638
4104,C23H18O3Cl2,HCOCl,23,18,3,0,2,412.0632998,412.07057626688,2.1,8,0.2625,2,1,0,0,1.15824112365954,0.543395160631816,0.360084474086761,1.63991552591324,2.21449393290095,0.740537375853171,0.522987222614932
4210,C21H17O7Cl,HCOCl,21,17,7,0,1,416.0662806,416.07355706688,2.1,6.7,0.313432835820896,2,1,0,0,1.79806425294373,1.04706340460317,0.780356228351593,1.22713029384613,1.63328729139175,0.751325440609087,0.903994083267714
4217,C22H21O6Cl,HCOCl,22,21,6,0,1,416.1026661,416.10994256688,2.2,5.7,0.385964912280702,2,2,0,0,1.90911504626274,1.11356004471957,0.762053966522217,1.23794600367546,1.64738332480192,0.751462021642297,0.448959970057176
4223,C23H25O5Cl,HCOCl,23,25,5,0,1,416.1390516,416.14632806688,3.2,5.7,0.56140350877193,3,2,0,0,1.81002627965063,1.10462568972023,0.784220814704895,1.60859039146453,1.70243306271732,0.944877320989642,0.159813354560369
4268,C21H19O7Cl,HCOCl,21,19,7,0,1,418.0819306,418.08920706688,2.1,6.7,0.313432835820896,2,1,0,0,1.72775407752488,1.01987844517387,0.825908064842224,1.22713029384613,1.6335173175903,0.751219641586868,0.318646371738318
