mOz	abs_abu	sn	resolution	rel_abu
217.108171	3746262.3	24.07	521894.7	0.00654961334042055
218.075122	3547141.5	22.65	483536.8	0.00620148922534318
219.033271	4659767	30.55	483517.2	0.00814669920642007
219.051017	5707320	38	494471.8	0.00997814253690912
219.540574	1424082.6	7.55	442622.1	0.00248973233796811
221.009164	5811881	38.61	475288.5	0.0101609471740771
221.045602	1520555.1	8.23	548500.3	0.00265839580101065
221.048931	11550379	79.24	477427.5	0.0201935983994803
221.281777	1510074	8.16	518224.3	0.00264007162964062
223.024819	4621617.5	30.19	511524.8	0.00808000220174681
223.064546	12189492	83.77	442588.4	0.0213109635745873
223.097575	1994550.8	11.59	548151.3	0.00348708538850215
224.0565	1509505	8.12	570118.3	0.00263907684345314
224.717879	1397880	7.34	267521.3	0.00244392217178895
225.040493	5379540	35.43	442122.8	0.00940508275390272
225.043975	1470420.4	7.85	571177.6	0.00257074499771853
225.060464	1403861.8	7.38	479873.1	0.00245438018939219
225.076848	10422231	71.02	475849.6	0.018221250336514
225.113192	4486106.5	29.13	450226.4	0.0078430874898822
226.072102	4472371	29.03	426551.1	0.00781907363104553
226.080221	1446964	7.68	446798.8	0.00252973602983119
226.108495	1504310.6	8.09	500240	0.00262999544209599
227.001966	2929808.5	18.15	535382	0.00512220215772865
227.019671	1391378.5	7.29	493521	0.00243255555949041
227.030963	1971603.6	11.38	555087.9	0.00344696665809577
227.056094	55605400	389.88	450508.1	0.0972152616327534
227.0925	22136986	153.69	443540	0.0387022283042762
227.12893	3147422	19.68	505855.1	0.0055026571735602
228.051377	3215619.5	20.16	523053.6	0.00562188728080157
228.059491	5089540.5	33.39	457950.8	0.00889807485060794
228.087737	5402887.5	35.6	441175.5	0.0094459013312526
228.095892	1851400.6	10.53	564593.8	0.0032368150164559
228.981312	1496178.4	7.98	448104.3	0.00261577786699267
229.035374	7031161	46.79	465519	0.0122926218712034
229.071731	112621952	787.25	454507.4	0.196897648956242
229.075077	1876606.1	10.64	510189.5	0.0032808819465937
229.108147	11217282	76.15	439746.9	0.0196112428727853
229.144543	2089094.8	12.13	451961.6	0.00365237724317467
229.169339	1604617.9	8.74	444989	0.00280536330948252
230.066992	2474495.3	14.84	515845.3	0.00432617529949463
230.075109	9018880	60.73	464798.2	0.0157677631818925
230.103391	1516804.3	8.12	572396.5	0.00265183825438151
231.051025	27806346	192.47	453041.3	0.0486140051405235
231.087393	42736272	297.17	445255.1	0.0747160862737884
231.123837	2196885	12.89	475563.4	0.00384082751049487
231.331939	1614132	8.8	326740	0.00282199686882568
232.054356	3059491.8	18.94	462259.7	0.00534892826596452
232.090783	4762409.5	30.88	455974.1	0.00832614971827935
233.048935	13149128	89.69	448171	0.0229887010751216
233.066697	16212939	111.17	454321	0.028345180624919
233.08528	1384014.4	7.19	487626.1	0.00241968085832488
233.103062	2585553.3	15.61	542100.2	0.00452033868158361
234.070074	1911933.1	10.81	468140.1	0.00334264435721749
235.002101	1452461	7.61	369500.2	0.00253934646862302
235.024812	15136049	102.87	439298.7	0.0264624472375197
235.028205	4355378	27.82	466325.8	0.00761453405208017
235.06458	22576442	154.67	448596.6	0.0394705319225594
235.10101	2129984.3	12.32	518986.8	0.00372386460664175
236.028202	1873401.9	10.54	448722.8	0.00327528002409474
236.056511	2172671.8	12.62	490762	0.00379849542452901
236.067966	1995778.1	11.39	478839.7	0.00348923108461444
236.92553	1418422.6	7.37	337982.2	0.00247983692527723
237.004126	2005447.6	11.45	439710.8	0.00350613633073006
237.04047	5735119.5	37.42	479839	0.0100267445731459
237.043857	8483536	56.56	461174.8	0.0148318179854993
237.076877	3424471.3	21.33	463040.8	0.00598702416282151
237.080219	19992280	136.68	429493.2	0.0349526256592932
237.113177	1413983.3	7.34	311172.2	0.00247207566987818
237.819176	1389179.1	7.16	385444.4	0.00242871033499
237.940353	1377942.5	7.08	507335.5	0.00240906531833941
238.035679	2499500	14.89	477983.3	0.0043698911697617
238.0473	1714862.6	9.43	443291.1	0.00299810479419668
238.072127	2075700.3	11.94	371987.7	0.00362895955672803
