Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,test_peaks
136.937760551946,0,0,0,0,0,0,0,0,,None,136.930484085066,0,0,1327200.9
137.689622487839,0,0,0,0,0,0,0,0,,None,137.682346020959,0,0,1360819
137.701293486844,0,0,0,0,0,0,0,0,,None,137.694017019964,0,0,1190643.4
138.302357435672,0,0,0,0,0,0,0,0,,None,138.295080968792,0,0,1269790.3
138.499454418907,0,0,0,0,0,0,0,0,,None,138.492177952027,0,0,1213765.3
139.413578341247,0,0,0,0,0,0,0,0,,None,139.406301874367,0,0,1202171.8
139.61530232413,0,0,0,0,0,0,0,0,,None,139.60802585725,0,0,1195701.5
139.703984316608,0,0,0,0,0,0,0,0,,None,139.696707849728,0,0,1196522
139.808148307774,0,0,0,0,0,0,0,0,,None,139.800871840894,0,0,1261775.4
140.964263209866,0,0,0,0,0,0,0,0,,None,140.956986742986,0,0,1340755.9
141.091912199071,0,0,0,0,0,0,0,0,,None,141.084635732191,0,0,1954908.5
141.250496185665,0,0,0,0,0,0,0,0,,None,141.243219718785,0,0,1208311.5
141.305022181056,0,0,0,0,0,0,0,0,,None,141.297745714176,0,0,1214667.4
141.337813178285,0,0,0,0,0,0,0,0,,None,141.330536711405,0,0,1390157.6
141.352819177017,0,0,0,0,0,0,0,0,,None,141.345542710137,0,0,1286590.8
141.360745176347,0,0,0,0,0,0,0,0,,None,141.353468709467,0,0,1430479.4
141.375565175095,0,0,0,0,0,0,0,0,,None,141.368288708215,0,0,1249280.4
141.421450171218,0,0,0,0,0,0,0,0,,None,141.414173704338,0,0,1218083.8
141.429084170573,0,0,0,0,0,0,0,0,,None,141.421807703693,0,0,1314228.3
141.440249169629,0,0,0,0,0,0,0,0,,None,141.432972702749,0,0,1302549.1
141.462647167737,0,0,0,0,0,0,0,0,,None,141.455370700857,0,0,1229878.8
141.464555167576,0,0,0,0,0,0,0,0,,None,141.457278700696,0,0,1324406.9
141.466362167423,0,0,0,0,0,0,0,0,,None,141.459085700543,0,0,1242039
141.486364165733,0,0,0,0,0,0,0,0,,None,141.479087698853,0,0,1281800.5
141.499151164653,0,0,0,0,0,0,0,0,,None,141.491874697773,0,0,1225001.4
141.509143163809,0,0,0,0,0,0,0,0,,None,141.501866696929,0,0,1365370.1
141.529483162091,0,0,0,0,0,0,0,0,,None,141.522206695211,0,0,1208107.6
