mOz	abs_abu	sn	resolution	rel_abu
236.077706	2731479.3	7.63	959665.471544715	0.00364023471697009
236.966007	89318120	313.12	787262.481727575	0.119034005228779
237.04057	10925824	36.52	784902.549668874	0.0145608146605047
237.071417	8078088.5	26.48	871586.091911765	0.0107656456354829
237.076939	18713354	64	795560.197986577	0.0249392338070258
237.090011	17670926	60.32	803694.952542373	0.0235499929676236
237.113332	14514965	49.19	823310.180555556	0.0193440526928415
237.126402	5467416.5	17.27	812076.719178082	0.00728641046462813
237.14971	5310239.5	16.71	862362.581818182	0.0070769411224628
237.965562	9332736	30.9	817751.072164948	0.0124377108007066
238.962732	6413559.5	20.6	1582534.64900662	0.00854733255758275
238.963066	30856440	106.85	844392.459363958	0.0411222900829249
239.0198	3012356.8	8.6	838665.964912281	0.00401455936468599
239.056206	10445069	34.83	844721.575971731	0.0139201138353668
239.069291	3485712.3	10.27	794250.136212625	0.00464539889715791
239.08707	5546260	17.54	833055.993031359	0.00739148497348764
239.092589	41325844	143.79	789084.452145215	0.0550748351037806
239.105663	9937177	33.03	830227.996527778	0.0132432476072862
239.128983	46683420	162.69	776392.801948052	0.0622148614455529
239.962647	3206866	9.26	912405.501901141	0.00427378122392178
240.095929	5595117	17.67	811134.89527027	0.00745659655883519
240.132326	6837236	22.04	797781.813953488	0.00911196502763822
241.0355	2570141	7.02	842781.468531469	0.0034252196220957
241.05074	12038816	40.35	767677.515923567	0.016044095942596
241.05411	2765472.5	7.71	906218.458646617	0.00368553735820955
241.071861	30783140	106.33	782700.847402597	0.0410246033807947
241.102704	3760040.8	11.21	870406.873646209	0.00501099571114597
241.108243	67126952	234.26	772782.830128205	0.0894598985666064
241.136564	420497056	1478.11	765512.901587302	0.56039523405318
241.144632	40539824	140.67	775384.668810289	0.0540273084788369
242.111595	7703370	25.09	831998.608247423	0.0102662593531885
242.139913	67782480	236.57	768698.136507937	0.0903335188732095
242.147992	5661007.5	17.9	776115.358974359	0.00754440864132782
242.176262	22579028	77.45	783741.948220065	0.030091006584249
243.033363	14542791	49.04	791639.618892508	0.0193811363241304
243.043017	2633416.3	7.23	880590.641304348	0.00350954643496472
243.087507	26775502	92	776637.40255591	0.035683635583364
243.123893	68667344	239.09	769379.408227848	0.0915127746166438
243.133612	134842320	471.46	764571.106918239	0.179703977467737
243.143244	4532692.5	13.9	838424.979310345	0.00604070644059062
243.160277	16392151	55.54	776869.89456869	0.0218457731515725
243.17966	3565273	10.5	757569.034267913	0.00475142921642354
244.090865	3828285.3	11.42	853464.562937063	0.00510194496276295
244.12725	8673345	28.43	758159.161490683	0.0115589422849585
244.136968	18673730	63.55	767726.314465409	0.0248864270145946
244.163675	2772292.5	7.71	844857.006920415	0.00369462635286887
245.045655	4692114.5	14.45	710277.260869565	0.0062531676878894
245.05873	4447891.5	13.6	850898.368055556	0.00592769238837584
245.082079	3079317.3	8.79	716614.266081871	0.00410379743314423
245.10316	19648662	66.97	773196.088328076	0.0261857161262071
245.139542	26912922	92.48	775758.044303798	0.0358667748276577
245.175921	3634844.5	10.74	783309.651757188	0.00484414695717731
246.106495	2859738.3	8.02	834259.305084746	0.00381116512254332
246.142903	3514588.5	10.29	786399.051118211	0.00468388212700856
246.94042	4724995	14.53	812304.013157895	0.00629698743699434
247.024909	13449479	45.09	784206.06031746	0.017924082522229
247.061311	9771272	32.21	769661.404984424	0.0130221464842724
247.074358	14657801	49.32	776963.389937107	0.0195344098249761
247.097663	11402505	37.92	760300.501538462	0.0151960860773959
247.110745	42883336	148.18	755690.351681957	0.0571505002753246
247.118809	12633354	42.23	782021.547468354	0.0168364350491593
247.134072	3889418.8	11.61	753457.536585366	0.00518341740484585
247.155229	3389195.5	9.85	807696.826797386	0.00451677123150771
248.077715	2614566.3	7.14	870448.122807018	0.003484425093421
248.114076	6839591	21.94	818858.336633663	0.00911510352945973
249.004172	9042226	29.65	780577.34169279	0.0120505489475573
