mOz	abs_abu	sn	resolution	rel_abu
150.571242	2883624.3	9.3	1420483.41509434	0.000707203658991651
151.032737	9623676	35.69	2904475.71153846	0.00236018918281072
151.040176	6261659.5	22.53	1313392.83478261	0.00153566069954392
151.301116	4922915	17.29	1271437.94957983	0.00120733602532927
152.081611	9509330	35.24	1299842.82905983	0.00233214603253242
152.457912	5469552.5	19.43	1411647.33333333	0.0013413978863498
152.841553	28266684	108.67	1242614.25203252	0.00693235327235964
152.883793	2872308.5	9.26	1242957.66666667	0.000704428479449567
153.001224	3595079.3	12.09	1471165.61538462	0.000881686714640719
153.019432	10843085	40.46	1275161.93333333	0.00265924704087058
153.609412	2732873.8	8.71	1396449.2	0.000670232370743449
153.623667	7274076	26.49	1228989.336	0.00178395402028737
153.779544	4941382.5	17.36	1281496.2	0.00121186514639834
154.573314	3472078.3	11.61	1405211.94545455	0.000851520941221612
154.933209	6815178.5	24.69	1219946.52755906	0.00167141023602875
155.071457	4449998	15.44	1336822.90517241	0.00109135398397965
157.050733	6577989.5	23.77	1246434.38888889	0.00161324006154639
157.087115	4220488	14.54	1331246.73728814	0.0010350670703983
158.846826	7872928.5	28.84	1240990.828125	0.00193082151588876
159.066391	15989637	60.61	1195987.90225564	0.00392142963712308
159.102372	2597216.5	8.19	1473170.11111111	0.000636962662574833
159.102774	18329280	69.77	1187334.13432836	0.00449522286335376
159.84525	6727145	24.35	1220192.7480916	0.00164982017892116
160.841723	16753858	63.6	1256575.9609375	0.00410885345910927
160.842146	135203392	527.28	1165522.79710145	0.0331583880502334
160.84256	14741314	55.73	1065182.51655629	0.00361528067270929
160.843869	8653666	31.89	1165535.2826087	0.00212229597971263
161.045652	2399664	7.41	1519298.60377358	0.000588513268233501
161.84231	6924241	25.13	1164333.16546763	0.00169815761746078
161.842601	3744944.8	12.68	1254593.80620155	0.000918440958235009
162.838757	15683385	59.41	1313215.78225806	0.00384632188644505
162.839033	10328505	38.45	2759983.61016949	0.0025330472239097
162.839195	142555072	556.06	1146754.8943662	0.0349613743115628
162.83962	14150137	53.41	1030630.50632911	0.00347029557964023
162.84093	2816680.8	9.05	1272194.765625	0.000690785886348485
162.842554	12380217	46.48	1215242.94029851	0.00303622589167065
163.039742	3762225	12.75	1442829.57522124	0.000922678896120367
163.04018	33044400	127.37	1156313.33333333	0.00810407950480363
163.040635	3316753	11	1116716.67808219	0.000813427691524009
163.839352	2923070.3	9.46	1260302.70769231	0.000716877719351243
163.839649	3421742.3	11.41	1260304.99230769	0.000839176128002011
164.043532	3174508.8	10.45	1242754.03030303	0.000778542558009792
164.835789	5360517.5	19	1340128.36585366	0.00131465724924318
164.836241	49496996	191.78	1136801.66206897	0.0121390490017355
164.836679	4490293.5	15.6	981170.708333333	0.00110123638268218
164.838001	5746213.5	20.51	1177414.29285714	0.00140924849764486
164.839608	12749926	47.93	1169075.23404255	0.00312689635715471
165.019436	14963883	56.6	1170350.60992908	0.00366986531855865
166.833285	5555593.5	19.77	1150574.37931034	0.00136249928642585
166.835032	4946986	17.38	1263901.75757576	0.00121323939466749
167.034624	6589377	23.81	1336276.992	0.00161603282538416
167.035092	64186432	249.28	1113567.28	0.0157416066885061
167.035546	5698145	20.33	949065.602272727	0.00139745978471085
167.071475	9579781	35.52	1201953.05755396	0.00234942401322485
168.038455	5708849	20.37	1018414.87878788	0.00140008492140631
168.836351	17145576	65.14	1148546.60544218	0.00420492159215035
168.948843	6335552.5	22.82	1126325.62	0.00155378282452874
169.050746	5671319	20.22	1173963.51388889	0.00139088075659124
169.055744	2304120	7.04	1261610.02985075	0.000565081274546009
169.087131	13518751	50.94	1097968.38311688	0.00331544930183764
170.368242	2330206.8	7.14	1058187.83850932	0.000571479015198765
170.39952	2500568.3	7.8	1159180.40816327	0.000613259865828753
170.8334	15928961	60.35	871598.979591837	0.00390654895755155
171.065896	4243471	14.62	1402179.47540984	0.00104070360969873
171.066381	38790608	149.81	1103654.07096774	0.00951332665358341
171.102765	6974620	25.31	1082928.89240506	0.00171051297635283
172.069728	3291785.5	10.86	1265218.58823529	0.000807304457177609
172.8303	8156693.5	29.84	949617.032967033	0.00200041437037183
172.832044	6733014.5	24.29	1122286	0.00165125966321058
173.081538	7030540	25.45	1227528.63829787	0.00172422725550175
173.082032	82919184	321.48	1075043.67701863	0.0203357803322028
173.118417	14176030	53.32	1138936.95394737	0.0034766457911925
173.739869	2364055.3	7.22	919258.566137566	0.000579780298778383
173.822272	2402114.8	7.37	1241587.65714286	0.000589114322513511
173.831379	2455079.8	7.57	1158875.86	0.000602103893241741
174.048019	2633372.5	8.26	1017824.67251462	0.000645829856367902
174.05617	2558880.8	7.97	1318607.34848485	0.000627560901287828
174.085393	6910929	24.9	1036222.57738095	0.00169489287346882
174.379289	2408052.8	7.39	1110696.10828025	0.000590570606304396
174.827362	3102265.8	10.09	1181265.95945946	0.000760825092549214
174.829115	6297275	22.51	1135253.99350649	0.00154439533668677
175.061282	3013191.3	9.74	972562.677777778	0.000738979732069053
175.097689	3648157.5	12.21	1326497.64393939	0.000894704047464794
177.019433	6849516.5	24.49	1113329.7672956	0.00167983156860056
177.055826	12796039	47.46	1066601.36144578	0.00313820548724044
177.946914	3214124.5	10.44	1271049.38571429	0.000788258236988331
178.998701	16662150	62.18	1046776.02923977	0.0040863622375036
179.035091	16726692	62.43	1017244.83522727	0.00410219104660284
179.07147	15267011	56.81	1085281.63636364	0.00374420691387078
179.943947	2958971	9.42	1110765.10493827	0.000725682301279742
180.030293	2416456.5	7.33	1192253.59602649	0.00059263159857342
180.65674	12934213	47.66	1056472.16374269	0.00317209241154521
181.014355	11287445	41.34	1028490.65340909	0.00276822552947241
