Index,Formula,Ideal block mass,Peaks,Block mass mean,StdDev,ClusteringChainIndex, ClusteringPeakIndex,ClusteringMassError
0,,14.01565006,6,14.01565140,0.02424922,-1,25,0.00000000
Peak,Index,Mass
0,25,171.06628700
1,41,185.08191400
2,60,199.09758900
3,83,213.11325900
4,125,227.12893000
5,187,241.14454400
1,,14.01565006,9,14.01564900,0.04368237,7,63,0.00001231
Peak,Index,Mass
0,26,173.04556300
1,44,187.06119600
2,63,201.07686400
3,89,215.09250900
4,134,229.10814700
5,198,243.12377400
6,277,257.13946200
7,377,271.15511700
8,494,285.17075500
2,,14.01565006,5,14.01565725,0.04079246,-1,-1,0.00000000
Peak,Index,Mass
0,27,173.08191400
1,45,187.09756700
2,64,201.11324000
3,90,215.12890500
4,135,229.14454300
3,,14.01565006,6,14.01564400,0.10970114,10,49,0.00001131
Peak,Index,Mass
0,30,175.06119700
1,49,189.07686300
2,68,203.09251200
3,98,217.10817100
4,142,231.12383700
5,209,245.13941700
4,,15.99491462,6,15.99490800,0.06914980,16,87,-0.00002024
Peak,Index,Mass
0,39,183.06628300
1,59,199.06122700
2,87,215.05609600
3,140,231.05102500
4,215,247.04592700
5,313,263.04082300
5,,14.01565006,6,14.01564600,0.09926629,4,39,-0.00000400
Peak,Index,Mass
0,39,183.06628300
1,56,197.08195000
2,78,211.09760200
3,116,225.11319200
4,176,239.12887800
5,257,253.14451300
6,,14.01565006,8,14.01564814,0.06147801,4,59,0.00002538
Peak,Index,Mass
0,40,185.04553800
1,59,199.06122700
2,82,213.07687000
3,124,227.09250000
4,186,241.10811500
5,266,255.12377000
6,362,269.13945200
7,478,283.15507500
7,,15.99491462,5,15.99492775,0.05803933,0,41,-0.00002306
Peak,Index,Mass
0,41,185.08191400
1,63,201.07686400
2,96,217.07176600
3,147,233.06669700
4,230,249.06162500
8,,14.01565006,11,14.01565880,0.04798233,7,96,-0.00000031
Peak,Index,Mass
0,48,189.04044800
1,67,203.05613900
2,96,217.07176600
3,141,231.08739300
4,208,245.10305800
5,289,259.11869100
6,397,273.13436300
7,517,287.14999100
8,640,301.16565100
9,790,315.18134600
10,948,329.19703600
9,,12.00000000,7,11.99999083,0.11036567,8,48,-0.00001818
Peak,Index,Mass
0,48,189.04044800
1,62,201.04047600
2,81,213.04047700
3,112,225.04049300
4,161,237.04047000
5,227,249.04047200
6,297,261.04039300
10,,12.00000000,6,11.99999420,0.06868557,7,63,0.00001231
Peak,Index,Mass
0,49,189.07686300
1,63,201.07686400
2,82,213.07687000
3,115,225.07684800
4,163,237.07687700
5,231,249.07683400
11,,14.01565006,5,14.01563750,0.10973478,-1,-1,0.00000000
Peak,Index,Mass
0,53,196.02515600
1,76,210.04077800
2,110,224.05650000
3,170,238.07212700
4,249,252.08770600
12,,14.01565006,9,14.01564713,0.04780108,10,115,-0.00000369
Peak,Index,Mass
0,54,197.04557800
1,77,211.06120700
2,115,225.07684800
3,174,239.09250600
4,256,253.10812100
5,349,267.12379400
6,463,281.13943700
7,590,295.15505800
8,735,309.17075500
13,,15.99491462,6,15.99491360,0.08533261,10,82,0.00001831
Peak,Index,Mass
0,56,197.08195000
1,82,213.07687000
2,132,229.07173100
3,206,245.06666300
4,299,261.06155200
5,423,277.05651800
14,,14.01565006,12,14.01564664,0.07501010,9,81,0.00001082
Peak,Index,Mass
0,58,199.02482400
1,81,213.04047700
2,123,227.05609400
3,184,241.07173300
4,265,255.08739100
5,361,269.10303800
6,477,283.11869100
7,605,297.13437400
8,753,311.14996900
9,903,325.16568400
10,1068,339.18128600
11,1244,353.19693700
15,,15.99491462,5,15.99490675,0.04675614,0,60,0.00000187
Peak,Index,Mass
0,60,199.09758900
1,89,215.09250900
2,141,231.08739300
3,218,247.08233100
4,318,263.07721600
16,,14.01565006,11,14.01564770,0.06340662,9,62,0.00000982
Peak,Index,Mass
0,62,201.04047600
1,87,215.05609600
2,132,229.07173100
3,196,243.08735400
4,276,257.10302800
5,376,271.11868700
6,493,285.13437800
7,621,299.14998700
8,770,313.16563200
9,922,327.18135700
10,1091,341.19695300
17,,14.01565006,9,14.01563713,0.10325297,-1,-1,0.00000000
Peak,Index,Mass
0,65,202.04383100
1,92,216.05948100
2,138,230.07510900
3,201,244.09075400
4,282,258.10642700
5,385,272.12211800
6,503,286.13769500
7,628,300.15336800
8,779,314.16892800
18,,12.00000000,5,11.99999950,0.07089311,11,170,0.00000000
Peak,Index,Mass
0,66,202.07213600
1,84,214.07214100
2,117,226.07210200
3,170,238.07212700
4,237,250.07213400
19,,12.00000000,7,11.99999967,0.06737075,8,67,0.00002276
Peak,Index,Mass
0,67,203.05613900
1,87,215.05609600
2,123,227.05609400
3,172,239.05612100
4,241,251.05610700
5,314,263.05611800
6,406,275.05613700
20,,12.00000000,6,11.99998500,0.07478811,15,89,0.00000725
Peak,Index,Mass
0,68,203.09251200
1,89,215.09250900
2,124,227.09250000
3,174,239.09250600
4,243,251.09248900
5,319,263.09243700
21,,14.01565006,7,14.01566067,0.05458144,141,295,0.00000000
Peak,Index,Mass
0,69,204.05943800
1,99,218.07512200
2,145,232.09078300
3,213,246.10640800
4,295,260.12206900
5,402,274.13770900
6,524,288.15340200
22,,14.01565006,12,14.01564145,0.10247510,7,147,0.00001607
Peak,Index,Mass
0,70,205.03540100
1,101,219.05101700
2,147,233.06669700
3,218,247.08233100
4,304,261.09800100
5,411,275.11360100
6,534,289.12926900
7,663,303.14488500
8,811,317.16056100
9,972,331.17633800
10,1146,345.19189300
11,1329,359.20745700
23,,12.00000000,7,11.99999983,0.05145594,22,70,0.00002020
Peak,Index,Mass
0,70,205.03540100
1,95,217.03537700
2,131,229.03537400
3,182,241.03538900
4,252,253.03541400
5,328,265.03537000
6,420,277.03540000
24,,14.01565006,8,14.01564000,0.04676171,-1,-1,0.00000000
Peak,Index,Mass
0,72,207.03326200
1,105,221.04893100
2,154,235.06458000
3,232,249.08022400
4,320,263.09584300
5,429,277.11151000
6,556,291.12713100
7,687,305.14274200
25,,14.01565006,11,14.01565880,0.12683489,9,161,0.00000382
Peak,Index,Mass
0,74,209.00918300
1,107,223.02481900
2,161,237.04047000
3,241,251.05610700
4,331,265.07178500
5,443,279.08746000
6,570,293.10307100
7,709,307.11873200
8,855,321.13433600
9,1018,335.14996200
10,1199,349.16577100
26,,14.01565006,7,14.01564583,0.06894397,40,108,0.00000000
Peak,Index,Mass
0,75,209.04894200
1,108,223.06454600
2,164,237.08021900
3,244,251.09588000
4,335,265.11150300
5,448,279.12716900
6,572,293.14281700
27,,15.99491462,5,15.99491250,0.05145931,12,77,0.00000538
Peak,Index,Mass
0,77,211.06120700
1,123,227.05609400
2,194,243.05101600
3,285,259.04593100
4,405,275.04085700
28,,15.99491462,6,15.99491100,0.07214203,20,124,-0.00000175
Peak,Index,Mass
0,78,211.09760200
1,124,227.09250000
2,196,243.08735400
3,287,259.08230000
4,408,275.07718200
5,550,291.07215700
29,,14.01565006,5,14.01565700,0.03142271,-1,-1,0.00000000
Peak,Index,Mass
0,80,213.01531100
