LowBinIndex,UpperBinIndex,PairCount,DistanceMean,DistanceStdDev,Type,Formula,FormulaDistance,ChainCount,ChainMean,ChainStdDev
522547,522593,1273,29.06265368,0.00057083,DM,C2H7O_1N1,29.06293461,0,0,0.00000000
431709,431756,1260,24.01072970,0.00076693,MDM,1 / 2 * C1H4O2,24.01056469,0,0,0.00000000
611706,611765,1246,34.02096933,0.00058382,DM,C4H2O_1,34.02073544,0,0,0.00000000
162335,162367,1240,9.02904267,0.00042229,MDM,1 / 2 * H6N2O_,9.02909179,0,0,0.00000000
323633,323682,1221,17.99981292,0.00076593,MDM,1 / 2 * C3,18.00000000,0,0,0.00000000
396455,396488,1212,22.04954306,0.00040715,MDM,1 / 2 * C4H12O_1,22.04949288,0,0,0.00000000
467299,467345,1132,25.99013499,0.00070180,MDM,2 * H_N,25.99049795,0,0,0.00000000
53100,53154,1120,2.95480682,0.00078481,MDM,3 * H_N_O,2.95204675,0,0,0.00000000
754374,754445,1086,41.95614065,0.00078170,DM,H_2S1C1,41.95642063,0,0,0.00000000
162477,162512,1034,9.03681677,0.00029843,DM,C2H3NO_2,9.03671986,0,0,0.00000000
503543,503589,1018,28.00584507,0.00064980,DM,N2,28.00614801,0,0,0.00000000
755560,755606,1003,42.02149221,0.00065965,DM,C1H2N2,42.02179807,0,0,0.00000000
287394,287435,989,15.98407245,0.00070412,MDM,1 / 2 * S1,15.98603535,0,0,0.00000000
251800,251845,962,14.00472339,0.00062412,MDM,1 / 2 * N2,14.00307401,0,0,0.00000000
35376,35419,950,1.96841815,0.00071814,MDM,2 * H_N_O,1.96803117,0,0,0.00000000
252184,252228,918,14.02656615,0.00065949,DM,H2N2O_,14.02688345,0,0,0.00000000
287441,287476,913,15.98687593,0.00031797,MDM,1 / 2 * S1,15.98603535,0,0,0.00000000
35759,35807,886,1.99023961,0.00055453,MDM,1 / 5 * H_6O,1.98959289,0,0,0.00000000
646369,646397,869,35.94830126,0.00024105,MDM,2 * C_H_2O2,35.94835836,0,0,0.00000000
539790,539830,848,30.02152841,0.00056758,MDM,2 * HN,30.02179807,0,0,0.00000000
250876,250922,826,13.95389255,0.00055052,MDM,2 * C_HN_S,13.95364343,0,0,0.00000000
1953,1971,758,0.10913955,0.00016678,MDM,1 / 9 * H_N_O,0.10933506,0,0,0.00000000
467975,467997,742,26.02693638,0.00020848,DM,CH2O_N2,26.02688345,0,0,0.00000000
179227,179263,729,9.96890462,0.00041714,DM,C_3H_2O3,9.96909380,0,0,0.00000000
864376,864411,670,48.07280856,0.00029867,MDM,2 * C3H4O_,48.07277101,0,0,0.00000000
288452,288476,544,16.04259683,0.00020779,DM,H4O_N2,16.04253352,0,0,0.00000000
702749,702774,529,39.08369249,0.00023895,DM,C4H9N1O_2,39.08367005,0,0,0.00000000
305565,305605,517,16.99484082,0.00054313,MDM,1 / 2 * H2S,16.99386038,0,0,0.00000000
70792,70809,471,3.93746605,0.00014340,MDM,4 * H_N_O,3.93606234,0,0,0.00000000
89969,89983,454,5.00393009,0.00015672,MDM,1 / 3 * HN,5.00363301,0,0,0.00000000
324680,324713,448,18.05804433,0.00036968,DM,H6N2O_,18.05818358,0,0,0.00000000
666679,666702,440,37.07778123,0.00023701,DM,C5H2N5O_4P_1,37.07760009,0,0,0.00000000
756633,756648,439,42.08004545,0.00015284,MDM,3 * H2N2O_,42.08065036,0,0,0.00000000
53726,53745,433,2.98830814,0.00018773,MDM,1 / 3 * C_2N_OP,2.98853404,0,0,0.00000000
593428,593449,346,33.00368909,0.00020258,DM,H3O_1N1S1,33.00370517,0,0,0.00000000
376350,376366,334,20.93092654,0.00015598,MDM,3 * C_HN_S,20.93046515,0,0,0.00000000
630411,630429,291,35.06046847,0.00017542,DM,C4H4N1P_1,35.06061262,0,0,0.00000000
357743,357754,281,19.89597128,0.00011374,MDM,2 * H_6O,19.89592886,0,0,0.00000000
377174,377206,246,20.97727743,0.00044809,MDM,1 / 2 * H_2S1C1,20.97821031,0,0,0.00000000
161205,161222,243,8.96574744,0.00017406,DM,C_2N_OP,8.96560213,0,0,0.00000000
18282,18297,242,1.01710299,0.00015320,MDM,1 / 5 * C4H6NO_2P_,1.01728669,0,0,0.00000000
646888,646903,228,35.97668211,0.00016190,DM,C_1H1O1P1,35.97650116,0,0,0.00000000
450915,450929,226,25.07781860,0.00016278,MDM,5 * H3N_O,25.07657857,0,0,0.00000000
790595,790610,224,43.96879037,0.00015921,MDM,2 * C2H_2,43.96869987,0,0,0.00000000
107833,107848,195,5.99751122,0.00014868,MDM,1 / 3 * H2O_S,5.99760204,0,0,0.00000000
