Index,Mass,IdealMass
143,231.33193900,231.33190388
144,232.05435600,232.05435217
145,232.09078300,232.09077910
146,233.04893500,233.04891893
147,233.06669700,233.06668093
148,233.08528000,233.08527441
149,233.10306200,233.10306644
150,234.07007400,234.07007323
151,235.00210100,235.00210512
152,235.02481200,235.02481612
153,235.02820500,235.02820912
154,235.06458000,235.06458412
155,235.10101000,235.10101412
156,236.02820200,236.02820233
157,236.05651100,236.05651122
158,236.06796600,236.06796618
159,236.92553000,236.92548467
160,237.00412600,237.00408067
161,237.04047000,237.04046618
162,237.04385700,237.04385118
163,237.07687700,237.07685169
164,237.08021900,237.08020156
165,237.11317700,237.11323719
166,237.81917600,237.81917491
167,237.94035300,237.94035230
168,238.03567900,238.03567861
169,238.04730000,238.04729965
170,238.07212700,238.07212673
171,239.01971900,239.01973074
172,239.05612100,239.05611624
173,239.05948100,239.05947629
174,239.09250600,239.09250175
175,239.09592700,239.09592402
176,239.12887800,239.12888726
177,239.33649200,239.33650126
178,240.05138300,240.05139124
179,240.05944900,240.05945728
180,240.08774300,240.08775143
181,241.01763500,241.01762680
182,241.03538900,241.03538080
183,241.04663000,241.04663464
184,241.07173300,241.07176631
185,241.07538400,241.07541766
186,241.10811500,241.10815181
187,241.14454400,241.14453732
188,242.06701700,242.06704120
189,242.07512700,242.07515128
190,242.10338100,242.10340558
191,242.11152400,242.11154867
192,242.12987900,242.12990386
193,242.99684800,242.99686287
194,243.05101600,243.05103087
195,243.07031200,243.07035209
196,243.08735400,243.08741637
197,243.09118300,243.09124175
198,243.12377400,243.12380188
199,244.05438600,244.05441227
200,244.08265100,244.08267702
201,244.09075400,244.09077994
202,245.01257100,245.01257742
203,245.03028900,245.03029542
204,245.04892600,245.04893832
205,245.05901400,245.05902951
206,245.06666300,245.06668093
207,245.09161800,245.09162942
208,245.10305800,245.10306644
209,245.13941700,245.13945194
210,246.06196000,246.06197338
211,246.07004100,246.07005435
212,246.09828500,246.09829824
213,246.10640800,246.10642121
214,247.02816500,247.02818349
215,247.04592700,247.04594549
216,247.06457200,247.06458102
217,247.07430600,247.07431007
218,247.08233100,247.08233099
219,247.11870600,247.11871650
220,247.58342600,247.58343020
221,248.04932200,248.04932113
222,248.05646300,248.05646205
223,248.05989700,248.05989601
224,248.06791800,248.06791693
225,248.08568300,248.08568173
226,249.00411000,249.00408067
227,249.04047200,249.04046618
228,249.04381100,249.04380145
229,249.05351200,249.05349161
230,249.06162500,249.06159555
231,249.07683400,249.07685169
232,249.08022400,249.08024169
233,249.08983900,249.08985669
234,249.11659900,249.11661669
235,250.03570800,250.03570370
236,250.04388300,250.04387876
237,250.07213400,250.07212998
238,250.08359000,250.08358606
239,251.01974300,251.01973074
240,251.02310400,251.02309373
241,251.05610700,251.05611624
242,251.05946700,251.05947657
243,251.09248900,251.09250175
244,251.09588000,251.09589196
245,251.12888300,251.12888726
246,252.05138700,252.05138815
247,252.05933000,252.05933114
248,252.06289400,252.06289513
249,252.08770600,252.08770707
250,252.09926200,252.09926304
251,252.99901300,252.99899530
252,253.03541400,253.03538080
253,253.03877800,253.03874688
254,253.07177700,253.07176631
255,253.07515100,253.07514416
256,253.10812100,253.10815181
257,253.14451300,253.14453732
258,254.03065900,254.03066532
259,254.06699100,254.06699761
260,254.07516800,254.07517467
261,254.10338900,254.10339590
262,254.99686200,254.99684887
263,255.05104400,255.05103087
264,255.06228000,255.06227877
265,255.08739100,255.08741637
266,255.12377000,255.12380188
267,256.04628700,256.04630110
268,256.05442000,256.05443409
269,256.08268000,256.08269407
270,256.09077200,256.09078607
271,256.97617000,256.97615542
272,257.03031000,257.03029542
273,257.06664100,257.06668093
274,257.07791800,257.07795747
275,257.08605300,257.08609213
276,257.10302800,257.10306644
277,257.13946200,257.13945194
278,258.00777900,258.00779716
279,258.06190900,258.06192744
280,258.07003800,258.07005648
281,258.09832100,258.09833962
282,258.10642700,258.10644566
283,258.99185100,258.99186549
284,259.02818900,259.02820349
285,259.04593100,259.04594549
286,259.06457100,259.06459395
287,259.08230000,259.08233099
288,259.10724900,259.10727623
289,259.11869100,259.11871650
290,260.02013900,260.02016717
291,260.04929000,260.04931831
292,260.07755300,260.07758145
293,260.08567300,260.08570148
294,260.11393500,260.11396362
295,260.12206900,260.12209766
296,261.00402100,261.00408067
297,261.04039300,261.04046618
298,261.04384300,261.04391135
299,261.06155200,261.06159555
300,261.06582500,261.06586111
301,261.08021500,261.08022604
302,261.08655400,261.08655400
303,261.08987500,261.08986921
304,261.09800100,261.09798106
305,261.13435700,261.13436657
306,262.06496600,262.06499454
307,262.08365500,262.08368345
308,262.10134400,262.10137237
309,262.15367700,262.15370512
310,263.01974100,263.01973074
311,263.02309900,263.02309628
312,263.03273600,263.03275494
313,263.04082300,263.04086011
314,263.05611800,263.05611624
315,263.05948400,263.05948725
316,263.06582400,263.06583668
317,263.06919800,263.06921569
318,263.07721600,263.07724562
319,263.09243700,263.09250175
320,263.09584300,263.09590775
321,264.00060100,264.00061363
322,264.05133400,264.05134602
323,264.05474100,264.05475298
324,264.06285200,264.06286389
325,264.08774600,264.08775759
326,264.09927600,264.09928745
327,264.99898300,264.99899530
328,265.03537000,265.03538080
329,265.03875300,265.03876106
330,265.05522200,265.05521672
331,265.07178500,265.07176631
332,265.07513200,265.07511464
333,265.08490000,265.08488654
334,265.10815600,265.10815181
335,265.11150300,265.11149881
336,266.00230800,266.00230938
337,266.04213500,266.04213644
338,266.06709600,266.06709747
339,266.07036600,266.07036747
340,266.07849800,266.07849949
341,267.01465000,267.01464536
342,267.03455400,267.03455949
343,267.05101700,267.05103087
344,267.05439200,267.05440406
345,267.06234500,267.06235280
346,267.07096100,267.07096419
347,267.08742200,267.08741637
348,267.09078500,267.09078062
349,267.12379400,267.12380188
350,268.04628400,268.04629248
351,268.05433300,268.05434152
352,268.05775500,268.05776354
353,268.08260900,268.08261768
354,268.09073900,268.09074773
355,268.11906200,268.11907089
356,269.01256300,269.01255842
357,269.03030000,269.03029542
358,269.05012300,269.05013942
359,269.06664700,269.06668093
360,269.07793900,269.07797123
361,269.10303800,269.10306644
362,269.13945200,269.13945194
363,270.06193700,270.06195631
364,270.07001600,270.07003535
365,270.09828700,270.09830649
366,270.10641900,270.10643853
367,270.99182500,270.99183149
368,271.02079700,271.02080349
369,271.02815600,271.02816249
370,271.04593900,271.04594549
371,271.05051100,271.05052637
372,271.06452200,271.06456457
373,271.08225400,271.08233099
374,271.09357400,271.09363624
375,271.10180700,271.10185851
376,271.11868700,271.11871650
377,271.15511700,271.15510201
378,271.99514800,271.99518303
379,272.02338800,272.02342337
380,272.04118200,272.04121758
381,272.04927400,272.04930967
382,272.07756300,272.07759900
383,272.08565000,272.08568610
384,272.11395700,272.11399343
385,272.12211800,272.12215453
386,273.00743100,273.00745905
387,273.02518200,273.02521005
388,273.04381500,273.04388436
389,273.06148700,273.06159555
390,273.07281800,273.07290868
391,273.08088300,273.08096095
392,273.08651700,273.08658606
393,273.08902800,273.08909310
394,273.09793000,273.09798106
395,273.10921500,273.10925135
396,273.12540600,273.12542124
397,273.13436300,273.13436657
398,274.05684900,274.05687475
399,274.06495000,274.06497557
400,274.09323200,274.09325693
401,274.10131400,274.10133875
402,274.13770900,274.13773293
403,275.01977300,275.01973074
404,275.02310700,275.02307191
405,275.04085700,275.04086011
406,275.05613700,275.05611624
407,275.05946600,275.05945859
408,275.07718200,275.07724562
409,275.09589800,275.09594440
410,275.10223000,275.10227058
411,275.11360100,275.11363112
412,275.15003400,275.15001663
413,276.04427700,276.04427207
414,276.05141000,276.05140502
415,276.05471000,276.05470499
416,276.06286100,276.06285593
417,276.07249600,276.07249085
418,276.08059900,276.08059379
419,276.11691300,276.11690750
420,277.03540000,277.03538080
421,277.03876200,277.03874461
422,277.04843600,277.04842382
423,277.05651800,277.05651017
424,277.07180600,277.07176631
425,277.07513100,277.07509989
426,277.08148300,277.08146827
427,277.08485100,277.08484496
428,277.09288100,277.09289568
429,277.11151000,277.11152468
430,278.03059100,278.03058420
431,278.04208600,278.04207927
432,278.05981300,278.05980639
433,278.06703500,278.06702843
434,278.07038000,278.07037345
435,278.07851500,278.07850851
436,278.10339100,278.10338467
437,279.01460800,279.01464536
438,279.05103700,279.05103087
439,279.05438800,279.05437842
440,279.05931200,279.05929735
441,279.06407500,279.06405545
442,279.07099600,279.07096932
443,279.08746000,279.08741637
444,279.09079600,279.09075747
445,279.09869300,279.09866653
446,279.10043000,279.10040619
447,279.12379000,279.12380188
448,279.12716900,279.12718088
449,280.01803100,280.01803808
450,280.04634700,280.04635429
451,280.05774600,280.05775338
452,280.08269800,280.08270557
453,280.08602600,280.08603359
454,280.09409300,280.09410066
455,281.03032300,281.03029542
456,281.03368100,281.03365883
457,281.05021800,281.05022247
458,281.06665000,281.06668093
459,281.07000700,281.07003899
460,281.07794100,281.07797550
461,281.10302400,281.10306644
462,281.10640800,281.10644788
463,281.13943700,281.13945194
464,282.03372200,282.03374380
465,282.06193300,282.06195500
466,282.07009100,282.07011306
467,282.07341900,282.07344108
468,282.09832300,282.09834525
469,282.10638200,282.10640431
470,282.59987300,282.59989049
471,283.02815500,283.02817249
472,283.04592800,283.04594549
473,283.04932500,283.04934525
474,283.06589400,283.06592769
475,283.08228400,283.08233099
476,283.08561300,283.08565803
477,283.11869100,283.11871650
478,283.15507500,283.15510201
479,284.02341000,284.02342737
480,284.04113800,284.04115514
481,284.04936200,284.04937904
482,284.07759000,284.07760668
483,284.08565200,284.08566857
484,284.11394600,284.11396221
485,284.12205400,284.12207010
486,284.87953200,284.87956255
487,285.00745200,285.00748255
488,285.02071100,285.02074155
489,285.06156500,285.06159555
490,285.09798400,285.09798106
491,285.10326500,285.10326083
492,285.10921500,285.10920944
493,285.13437800,285.13436657
494,285.17075500,285.17075207
495,286.00273900,286.00276261
496,286.01075700,286.01078079
497,286.03906300,286.03908744
498,286.05681500,286.05683984
499,286.06493500,286.06496003
500,286.09322000,286.09324568
501,286.10131800,286.10134386
502,286.12957200,286.12959851
503,286.13769500,286.13772170
504,286.98677400,286.98678011
505,287.02312100,287.02312711
506,287.04085400,287.04086011
507,287.05219900,287.05223779
508,287.05954900,287.05960896
509,287.06586800,287.06594616
510,287.06838600,287.06847142
511,287.07713500,287.07724562
512,287.08845100,287.08854345
513,287.09656300,287.09664243
514,287.10210600,287.10217654
515,287.11357900,287.11363112
516,287.12479500,287.12483896
517,287.14999100,287.15001663
518,288.04419100,288.04423612
519,288.05479600,288.05484108
520,288.07245500,288.07250002
521,288.08059400,288.08063899
522,288.10887100,288.10891588
523,288.11702600,288.11707085
524,288.15340200,288.15344672
525,289.03875700,289.03877417
526,289.04844900,289.04846617
527,289.05649300,289.05651017
528,289.06174900,289.06177203
529,289.07512400,289.07516194
530,289.09283800,289.09289568
531,289.09815400,289.09820504
532,289.10419400,289.10423750
533,289.11153400,289.11156833
534,289.12926900,289.12928119
535,289.16558900,289.16566669
536,290.04199400,290.04201792
537,290.05983500,290.05985859
538,290.06711500,290.06713845
539,290.07037400,290.07039739
540,290.07850400,290.07852724
541,290.08819700,290.08822006
542,290.09622100,290.09624392
543,290.13267500,290.13269724
544,291.01465800,291.01464536
545,291.01803500,291.01802213
546,291.05104600,291.05103087
547,291.05436700,291.05435476
548,291.06074000,291.06073330
549,291.06410000,291.06409623
550,291.07215700,291.07216024
551,291.08737000,291.08741637
552,291.09075100,291.09079041
553,291.09718400,291.09721015
554,291.10047100,291.10049038
555,291.10854300,291.10854575
556,291.12713100,291.12713375
557,292.04624600,292.04624243
558,292.04959200,292.04958841
559,292.05778800,292.05778433
560,292.07545300,292.07544918
561,292.08270400,292.08270012
562,292.08606200,292.08605809
563,292.09418200,292.09417802
564,293.03029900,293.03029542
565,293.03367000,293.03366406
566,293.06671000,293.06668093
567,293.07001200,293.06998516
568,293.07544300,293.07541982
569,293.07976200,293.07974173
570,293.10307100,293.10306644
571,293.10640300,293.10639844
572,293.14281700,293.14281244
573,294.02547600,294.02548040
574,294.03370000,294.03370455
575,294.06191100,294.06191604
576,294.06524000,294.06524510
577,294.07340900,294.07341424
578,294.09824900,294.09825468
579,294.10166100,294.10166674
580,294.10981400,294.10981988
581,295.04592500,295.04594549
582,295.04929400,295.04931352
583,295.06588500,295.06589973
584,295.08232100,295.08233099
585,295.08568500,295.08569578
586,295.09363300,295.09364564
587,295.10220300,295.10221764
588,295.11869800,295.11871650
589,295.12209000,295.12211088
590,295.15505800,295.15510201
591,296.04118500,296.04119628
592,296.04932700,296.04933817
593,296.05265800,296.05266913
594,296.07754600,296.07755681
595,296.08567200,296.08568271
596,296.08905400,296.08906467
597,296.11386800,296.11387835
598,296.12217800,296.12218824
599,297.02523800,297.02521005
600,297.06157600,297.06159555
601,297.06496000,297.06497848
602,297.09797300,297.09798106
603,297.10135300,297.10135962
604,297.10916300,297.10916630
605,297.13437400,297.13436657
606,298.05687300,298.05688951
607,298.06495000,298.06496666
608,298.06842500,298.06844173
609,298.09323400,298.09325119
610,298.10135300,298.10137035
611,298.12959100,298.12960888
612,298.13774900,298.13776703
613,298.98670500,298.98670611
614,299.02308200,299.02308311
615,299.04085900,299.04086011
616,299.07717300,299.07724562
617,299.08846700,299.08852985
618,299.09653100,299.09658688
619,299.11359000,299.11363112
620,299.12486600,299.12490356
621,299.14998700,299.15001663
622,300.01835200,300.01838483
623,300.04417400,300.04420674
624,300.07245400,300.07248664
625,300.08058700,300.08061961
626,300.10885200,300.10888451
