ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
7,152.883707908012,2872308.5,9.26,0.000704428479449567,2883,HNa2Cl3,153.89097154387,152.88369507699,0.9598733,1,-1,0.0839266864093849
2,151.040091655938,6261659.5,22.53,0.00153566069954392,2921,C8H8O3,152.04734411524,151.04006764836,1,0,-1,0.158948405788856
9,153.01934685318,10843085,40.46,0.00265924704087058,3006,C7H6O4,154.02660867066,153.01933220378,1,0,-1,0.0957356134964767
15,155.071371026862,4449998,15.44,0.00109135398397965,3126,C8H12O3,156.07864424352,155.07136777664,1,0,-1,0.0209595265400365
16,157.050646235498,6577989.5,23.77,0.00161324006154639,3225,C7H10O4,158.05790879894,157.05063233206,1,0,-1,0.0885283787407248
17,157.087028221003,4220488,14.54,0.0010350670703983,3233,C8H14O3,158.09429430766,157.08701784078,1,0,-1,0.0660794444869368
18,158.846738522112,7872928.5,28.84,0.00193082151588876,3281,HCl3Fe,159.85399357207,158.84671710519,0.06370295,0,-1,0.134827599676281
24,160.842057734801,135203392,527.28,0.0331583880502334,3281,HCl3Fe,161.84932057207,160.84204410519,1,1,-1,0.0847391076400743
29,161.84251234208,3744944.8,12.68,0.000918440958235009,3281,HCl3Fe,162.84977707207,161.84250060519,0.02309436,2,-1,0.0725204450546277
32,162.839105952213,142555072,556.06,0.0349613743115628,3281,HCl3Fe,163.84637048207,162.83909401519,0.9598733,3,-1,0.0733056333355664
40,163.839559562168,3421742.3,11.41,0.000839176128002011,3281,HCl3Fe,164.84682698207,163.83955051519,0.02216766,4,-1,0.0552185252855932
43,164.836151174946,49496996,191.78,0.0121390490017355,3281,HCl3Fe,165.84342039207,164.83614392519,0.3071189,5,-1,0.0439815937800075
48,166.833194402915,5555593.5,19.77,0.00136249928642585,3281,HCl3Fe,167.84047030207,166.83319383519,0.03275502,7,-1,0.00340295029967856
26,160.843780734124,8653666,31.89,0.00212229597971263,3281,HCl3Fe,161.85104348207,160.84376701519,0.06114675,1,3,0.085293536957676
34,162.840840951535,2816680.8,9.05,0.000690785886348485,3281,HCl3Fe,163.84809339207,162.84081692519,0.01956438,3,3,0.147544981552834
45,164.837911174264,5746213.5,20.51,0.00140924849764486,3281,HCl3Fe,165.84514330207,164.83786683519,0.002086592,5,3,0.268985970652187
19,159.066303435209,15989637,60.61,0.00392142963712308,3337,C7H12O4,160.07355886308,159.0662823962,1,0,-1,0.132265674203853
21,159.102686420815,18329280,69.77,0.00449522286335376,3346,C8H16O3,160.1099443718,159.10266790492,1,0,-1,0.116377025914781
22,159.845162127475,6727145,24.35,0.00164982017892116,3354,HCl3Mn,160.85242817207,159.84515170519,1,0,-1,0.0652023841565505
28,161.842221342194,6924241,25.13,0.00169815761746078,3354,HCl3Mn,162.84947808207,161.84220161519,0.9598733,1,-1,0.121890359893496
39,163.839262562284,2923070.3,9.46,0.000716877719351243,3354,HCl3Mn,164.84652799207,163.83925152519,0.3071189,2,-1,0.067365383070712
27,161.045563654807,2399664,7.41,0.000588513268233501,3457,C6H10O5,162.0528234185,161.04554695162,1,0,-1,0.103717161226627
35,162.842464950901,12380217,46.48,0.00303622589167065,3528,HCl3Ni,163.84972597207,162.84244950519,1,0,-1,0.0948506436069067
46,164.83951817364,12749926,47.93,0.00312689635715471,3528,HCl3Ni,165.84677588207,164.83949941519,0.9598733,1,-1,0.113798272634041
49,166.834941402242,4946986,17.38,0.00121323939466749,3528,HCl3Ni,167.84221938207,166.83494291519,0.3697415,3,-1,-0.0090685319939466
45,164.837911174264,5746213.5,20.51,0.00140924849764486,3528,HCl3Ni,165.84516947207,164.83789300519,0.3851982,1,3,0.110223888860048
37,163.040090873749,33044400,127.37,0.00810407950480363,3572,C9H8O3,164.04734411524,163.04006764836,1,0,-1,0.142452029706059
41,164.043442482844,3174508.8,10.45,0.000778542558009792,3572,C9H8O3,165.05069895304,164.04342248616,0.09734155,1,-1,0.121898723439525
47,165.019346103909,14963883,56.6,0.00366986531855865,3673,C8H6O4,166.02660867066,165.01933220378,1,0,-1,0.0842333353536456
51,167.035001325187,64186432,249.28,0.0157416066885061,3802,C8H8O4,168.0422587348,167.03498226792,1,0,-1,0.114091471964251
54,168.038363939509,5708849,20.37,0.00140008492140631,3802,C8H8O4,169.0456135726,168.03833710572,0.08652583,1,-1,0.159688491757153
58,169.055652549791,2304120,7.04,0.000565081274546009,3807,C7H8F4,170.06292281216,169.05564634528,0.00245658,2,-1,0.0367009967414279
53,167.071384311179,9579781,35.52,0.00234942401322485,3821,C9H12O3,168.07864424352,167.07136777664,1,0,-1,0.098966923478485
57,169.050654551702,5671319,20.22,0.00139088075659124,3928,C8H10O4,170.05790879894,169.05063233206,1,0,-1,0.1314377942649
59,169.087039537787,13518751,50.94,0.00331544930183764,3939,C9H14O3,170.09429430766,169.08701784078,1,0,-1,0.128318588366794
64,171.066288783373,38790608,149.81,0.00951332665358341,4050,C8H12O4,172.07355886308,171.0662823962,1,0,-1,0.0373374135664118
66,172.069635402803,3291785.5,10.86,0.000807304457177609,4050,C8H12O4,173.07691370088,172.069637234,0.08652583,1,-1,-0.0106421837560232
65,171.10267276955,6974620,25.31,0.00171051297635283,4058,C9H16O3,172.1099443718,171.10266790492,1,0,-1,0.0284310600594105
70,173.081939020096,82919184,321.48,0.0203357803322028,4182,C8H14O4,174.08920892722,173.08193246034,1,0,-1,0.0378997163438798
77,174.085299642007,6910929,24.9,0.00169489287346882,4182,C8H14O4,175.09256376502,174.08528729814,0.08652583,1,-1,0.0709070100266367
82,175.097595261789,3648157.5,12.21,0.000894704047464794,4188,C6H14BNO4,176.10494316982,175.09766670294,0.06489437,2,-1,-0.408007443710429
71,173.118324006364,14176030,53.32,0.0034766457911925,4192,C9H18O3,174.12559443594,173.11831796906,1,0,-1,0.0348738600333942
76,174.056076653002,2558880.8,7.97,0.000627560901287828,4228,C10H9NO2,175.06332853255,174.05605206567,1,0,-1,0.141260998900406
81,175.061188275442,3013191.3,9.74,0.000738979732069053,4302,C7H12O5,176.06847348264,175.06119701576,1,0,-1,-0.0499272168759233
82,175.097595261789,3648157.5,12.21,0.000894704047464794,4310,C8H16O4,176.10485899136,175.09758252448,1,0,-1,0.0727440574043501
83,177.01933854336,6849516.5,24.49,0.00167983156860056,4412,C9H6O4,178.02660867066,177.01933220378,1,0,-1,0.0358129245197491
84,177.055731529797,12796039,47.46,0.00313820548724044,4430,C10H10O3,178.06299417938,177.0557177125,1,0,-1,0.0780392594282787
85,177.946819198194,3214124.5,10.44,0.000788258236988331,4449,C5H3NO2Cl2,178.95408370013,177.94680723325,1,0,-1,0.0672388793053395
89,179.943851458398,2958971,9.42,0.000725682301279742,4449,C5H3NO2Cl2,180.95113361013,179.94385714325,0.6399155,2,-1,-0.0315923657038462
