mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,p_dtma,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
3281,HCl3Fe,HClFe,0,1,0,0,4,161.84932057207,160.84204410519,7.3,8.5,0.858823529411765,7,3,0,0,0.158587841782719,0.0777913776590022,0.0515708327293396,0.0515708327293396,2.49150987225585,2.50462613115087,0.994763186915646,0.0847391076400743
5549,HCl4Fe,HClFe,0,1,0,0,5,198.81522316207,197.80794669519,4,10.6,0.377358490566038,4,0,0,0,0.220547956880182,0.10560822305909,0.0849147439002991,0,2.36366271227598,2.58396095805801,0.914743972777515,-0.0336725968492497
15867,C13H19O5Cl,HCOCl,13,19,5,0,1,290.09210138713,289.08482492025,4,5.6,0.714285714285714,4,0,0,0,0.10840473906137,0.0684828231753139,0.0562625825405121,0,1.50554972141981,1.53377126972191,0.981599897677562,-0.0389463274626624
15895,C14H23O4Cl,HCOCl,14,23,4,0,1,290.12848689585,289.12121042897,4.2,5.6,0.75,4,2,0,0,0.0848535862751305,0.0568468548536793,0.0524581968784332,0,1.53311650338583,1.54751085757744,0.990698382424184,-0.0269047158458054
16171,C13H21O5Cl,HCOCl,13,21,5,0,1,292.10775145127,291.10047498439,4,5.6,0.714285714285714,4,0,0,0,0.03312554419972,0.0206232284291261,0.0152991414070129,0,1.50554972141981,1.53400129615329,0.981452704893518,-0.0272896919715429
17746,C14H19O5Cl,HCOCl,14,19,5,0,1,302.09210138713,301.08482492025,4,5.6,0.714285714285714,4,0,0,0,0.0469175172038376,0.0256823494628914,0.017477810382843,0,1.51982602104545,1.549797891872,0.980660787458967,-0.0364057744407238
18066,C14H21O5Cl,HCOCl,14,21,5,0,1,304.10775145127,303.10047498439,4,5.6,0.714285714285714,4,0,0,0,0.0683151041157544,0.044729317625315,0.0320780724287033,0,1.51982602104545,1.55002791830339,0.980515255950359,-0.0450312314669842
18093,C15H25O4Cl,HCOCl,15,25,4,0,1,304.14413695999,303.13686049311,4,5.6,0.714285714285714,4,0,0,0,0.0465102703310549,0.0284958204735431,0.024254709482193,0,1.53410233557224,1.56426782428753,0.980715905392337,-0.043442330160026
18405,C13H19O6Cl,HCOCl,13,19,6,0,1,306.08701600669,305.07973953981,4,5.6,0.714285714285714,4,0,0,0,0.0559803391806781,0.0348727159370719,0.0306297838687897,0,1.50554972141981,1.53715364180971,0.979439972992751,-0.0518470391461246
18444,C14H23O5Cl,HCOCl,14,23,5,0,1,306.12340151541,305.11612504853,4,5.6,0.714285714285714,4,0,0,0,0.0451525156386197,0.0280419168785086,0.0208806544542313,0,1.51982602104545,1.55025794473477,0.980369767629524,-0.0469902372835126
18726,C13H21O6Cl,HCOCl,13,21,6,0,1,308.10266607083,307.09538960395,4,5.6,0.714285714285714,4,0,0,0,0.0472373771481216,0.0290596163033189,0.0206601321697235,0,1.50554972141981,1.53738366824109,0.979293427217358,-0.0504949787907993
19073,C13H23O6Cl,HCOCl,13,23,6,0,1,310.11831613497,309.11103966809,4,5.6,0.714285714285714,4,0,0,0,0.0392235959880054,0.0245134014167097,0.0209394991397858,0,1.50554972141981,1.53761369467247,0.97914692528835,-0.0329880654596595
19734,C15H19O5Cl,HCOCl,15,19,5,0,1,314.09210138713,313.08482492025,4,5.6,0.714285714285714,4,0,0,0,0.0236867466010153,0.01252064741056,0.00836782157421112,0,1.53410233557224,1.56634705839679,0.979414062386948,-0.0309385178728472
20097,C15H21O5Cl,HCOCl,15,21,5,0,1,316.10775145127,315.10047498439,4.1,5.6,0.732142857142857,4,1,0,0,0.0328181930817664,0.0181114702876734,0.0143425762653351,0,1.54638523329049,1.56657708482817,0.987110847124456,-0.0361147906230622
20450,C15H23O5Cl,HCOCl,15,23,5,0,1,318.12340151541,317.11612504853,4,5.6,0.714285714285714,4,0,0,0,0.0494844415225089,0.0286615621276882,0.0206867754459381,0,1.53410233557224,1.56680711125955,0.979126482480019,-0.0349223836518762
20761,C14H21O6Cl,HCOCl,14,21,6,0,1,320.10266607083,319.09538960395,4,5.6,0.714285714285714,4,0,0,0,0.0273018660955131,0.0207454238389838,0.020147830247879,0,1.51982602104545,1.55331406521145,0.9784409058567,-0.0446584912252635
20793,C15H25O5Cl,HCOCl,15,25,5,0,1,320.13905157955,319.13177511267,4,5.6,0.714285714285714,4,0,0,0,0.118419716600329,0.10444287097694,0.104075655341148,0,1.53410233557224,1.56703713769093,0.978982755847625,-0.0462832540661929
20833,C18H37O2Cl,HCOCl,18,37,2,0,1,320.24820810571,319.24093163883,4.1,5.6,0.732142857142857,4,1,0,0,0.0154074286110699,0.008038897201796,0.00572658376768231,0,1.59482917562127,1.61131523526274,0.989768569625187,-0.0386256118191267
21137,C14H23O6Cl,HCOCl,14,23,6,0,1,322.11831613497,321.11103966809,4,5.6,0.714285714285714,4,0,0,0,0.0289450171403587,0.0200728973070291,0.0191724896430969,0,1.51982602104545,1.55354409164283,0.978296032421113,-0.0372074783243391
21518,C14H25O6Cl,HCOCl,14,25,6,0,1,324.13396619911,323.12668973223,4,5.6,0.714285714285714,4,0,0,0,0.0232476103119552,0.0126354265230101,0.00967785343527794,0,1.51982602104545,1.55377411807422,0.978151201880718,-0.0391384062809638
21814,C15H15O6Cl,HCOCl,15,15,6,0,1,326.05571587841,325.04843941153,4.2,5.6,0.75,4,2,0,0,0.0128635014407337,0.00678174287096129,0.00394506705924869,0,1.55871519539505,1.56867137749214,0.993653111645983,-0.0336340009361545
