mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,p_dtma,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
3281,HCl3Fe,HClFe,0,1,0,0,4,161.84932057207,160.84204410519,4.1,8.5,0.482352941176471,4,1,0,0,0.188827706966549,0.0836860936060909,0.0589966475963593,0,2.33278169180267,2.50462613115087,0.931389185311564,0.0695750116230556
5549,HCl4Fe,HClFe,0,1,0,0,5,198.81522316207,197.80794669519,4.1,10.6,0.386792452830189,4,1,0,0,0.235010800417513,0.12679080897112,0.111533105373383,0,2.42736566066742,2.58396095805801,0.939397189070424,-0.0232814848639352
12668,HNa4Cl5,HNaCl,0,1,0,0,9,269.80821546567,268.80093899879,4,6,0.666666666666667,4,0,0,0,0.231575201498345,0.124927453033185,0.097741425037384,0,2.46974395215511,2.50459502195008,0.986085147702708,-0.0117893130711404
15895,C14H23O4Cl,HCOCl,14,23,4,0,1,290.12848689585,289.12121042897,4.1,5.6,0.732142857142857,4,1,0,0,0.0889767003245652,0.0594167186969573,0.0548294484615326,0,1.53047119919211,1.54751085757744,0.988988989445926,-0.010240689695011
16171,C13H21O5Cl,HCOCl,13,21,5,0,1,292.10775145127,291.10047498439,4,5.6,0.714285714285714,4,0,0,0,0.0847476369235665,0.0484650683106033,0.0348973274230957,0,1.50554972141981,1.53400129615329,0.981452704893518,-0.0128672244028138
17746,C14H19O5Cl,HCOCl,14,19,5,0,1,302.09210138713,301.08482492025,4,5.6,0.714285714285714,4,0,0,0,0.0230563101358712,0.0154024561655838,0.014527440071106,0,1.51982602104545,1.549797891872,0.980660787458967,-0.0360347838115174
18066,C14H21O5Cl,HCOCl,14,21,5,0,1,304.10775145127,303.10047498439,4,5.6,0.714285714285714,4,0,0,0,0.114876527804881,0.0724146752335965,0.0541951954364777,0,1.51982602104545,1.55002791830339,0.980515255950359,-0.0268976622126745
18093,C15H25O4Cl,HCOCl,15,25,4,0,1,304.14413695999,303.13686049311,4,5.6,0.714285714285714,4,0,0,0,0.0780763612128794,0.0472336720434959,0.0328057706356049,0,1.53410233557224,1.56426782428753,0.980715905392337,-0.0384834143162458
18444,C14H23O5Cl,HCOCl,14,23,5,0,1,306.12340151541,305.11612504853,4,5.6,0.714285714285714,4,0,0,0,0.0404801373369992,0.0292503788392522,0.0281025171279907,0,1.51982602104545,1.55025794473477,0.980369767629524,-0.0244408838994865
18726,C13H21O6Cl,HCOCl,13,21,6,0,1,308.10266607083,307.09538960395,4,5.6,0.714285714285714,4,0,0,0,0.0333332824520767,0.0187166003983025,0.0149331949651241,0,1.50554972141981,1.53738366824109,0.979293427217358,-0.0138407125421633
