ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
0,150.88666601588,12720989,47.75,0.0169532259651372,2883,HNa2Cl3,151.89392163387,150.88664516699,1,0,-1,0.13817584506147
4,152.883707450604,14212566,53.59,0.0189410464031079,2883,HNa2Cl3,153.89097154387,152.88369507699,0.9598733,1,-1,0.0809348158929462
2,151.040092972093,5623150,20,0.00749395605843704,2921,C8H8O3,152.04734411524,151.04006764836,1,0,-1,0.16766235253935
7,153.019337412577,2682854.5,8.51,0.00357543258390405,3006,C7H6O4,154.02660867066,153.01933220378,1,0,-1,0.034040124319001
11,157.050637303153,3925304.3,13.37,0.00523124190892898,3225,C7H10O4,158.05790879894,157.05063233206,1,0,-1,0.0316528058651723
12,157.087033293319,6500523,23.44,0.00866322856741495,3233,C8H14O3,158.09429430766,157.08701784078,1,0,-1,0.0983692906789349
13,158.846740821643,3405901,11.34,0.00453903460398296,3281,HCl3Fe,159.85399357207,158.84671710519,0.06370295,0,-1,0.149304015701425
19,160.842055295777,61889632,239.99,0.0824801370550028,3281,HCl3Fe,161.84932057207,160.84204410519,1,1,-1,0.0695750116230556
25,162.839102778846,61637336,239.01,0.0821439028912833,3281,HCl3Fe,163.84637048207,162.83909401519,0.9598733,3,-1,0.0538178902836769
31,164.83614827116,22658756,86.61,0.0301972598637502,3281,HCl3Fe,165.84342039207,164.83614392519,0.3071189,5,-1,0.0263653972164366
33,164.837913270716,3626788,12.2,0.00483341008247455,3281,HCl3Fe,165.84514330207,164.83786683519,0.002086592,5,3,0.281704238461023
14,159.066300763314,9329250,34.5,0.0124330650183925,3337,C7H12O4,160.07355886308,159.0662823962,1,0,-1,0.115468303292025
15,159.10268075366,17770078,67.5,0.0236821325568407,3346,C8H16O3,160.1099443718,159.10266790492,1,0,-1,0.0807575397489369
16,159.845158557328,5251222,18.55,0.00699828866757918,3354,HCl3Mn,160.85242817207,159.84515170519,1,0,-1,0.0428673471113266
22,161.84222703572,4576447,15.92,0.00609901793865823,3354,HCl3Mn,162.84947808207,161.84220161519,0.9598733,1,-1,0.157069849319623
29,163.839272523439,2378812.8,7.32,0.00317023707253898,3354,HCl3Mn,164.84652799207,163.83925152519,0.3071189,2,-1,0.128163724796589
17,160.040406505916,2700416.5,8.58,0.00359883741150038,3382,C9H7NO2,161.04767846841,160.04040200153,1,0,-1,0.028145306513935
21,161.024419248185,5766543.5,20.57,0.00768505616924068,3447,C9H6O3,162.0316940511,161.02441758422,1,0,-1,0.0103336198763996
27,162.842465777984,8857495,32.65,0.0118043584677318,3528,HCl3Ni,163.84972597207,162.84244950519,1,0,-1,0.0999296797507135
34,164.83952227031,9381828,34.7,0.0125031355698877,3528,HCl3Ni,165.84677588207,164.83949941519,0.9598733,1,-1,0.138650751020722
33,164.837913270716,3626788,12.2,0.00483341008247455,3528,HCl3Ni,165.84516947207,164.83789300519,0.3851982,1,3,0.122942154649705
28,163.040083727338,15735119,59.54,0.0209701484684346,3572,C9H8O3,164.04734411524,163.04006764836,1,0,-1,0.0986197919565909
36,165.019343225046,16059593,60.81,0.0214025740480661,3673,C8H6O4,166.02660867066,165.01933220378,1,0,-1,0.0667877289518651
39,167.034827722725,6789726.5,24.57,0.00904864925171933,3679,C7H6N2O3,168.04208844114,167.03481197426,0.006164981,2,-1,0.09428253139313
37,165.055736215895,11277515,42.12,0.0150295122588522,3691,C9H10O3,166.06299417938,165.0557177125,1,0,-1,0.112103930107385
40,167.034998722683,82424672,320.28,0.109847126628151,3802,C8H8O4,168.0422587348,167.03498226792,1,0,-1,0.0985108775612172
43,168.038359476013,7957742,29.13,0.0106052601962208,3802,C8H8O4,169.0456135726,168.03833710572,0.08652583,1,-1,0.133126128543632
42,167.0713777137,8721827,32.12,0.0116235541088695,3821,C9H12O3,168.07864424352,167.07136777664,1,0,-1,0.0594779346844866
46,169.087034220591,13006011,48.87,0.0173330739762498,3939,C9H14O3,170.09429430766,169.08701784078,1,0,-1,0.0968720774511118
49,171.066285745081,28971496,111.25,0.0386102305595946,4050,C8H12O4,172.07355886308,171.0662823962,1,0,-1,0.0195765120392812
50,171.102663736421,6745012.5,24.38,0.00898905903072274,4058,C9H16O3,172.1099443718,171.10266790492,1,0,-1,-0.0243625591154526
53,173.081937269526,89688608,347.45,0.11952775353572,4182,C8H14O4,174.08920892722,173.08193246034,1,0,-1,0.0277856054949217
55,174.085302036026,7409185.5,26.8,0.00987420050430966,4182,C8H14O4,175.09256376502,174.08528729814,0.08652583,1,-1,0.084658997600513
58,175.097589802595,3836842.8,12.93,0.00511334951874493,4188,C6H14BNO4,176.10494316982,175.09766670294,0.06489437,2,-1,-0.439185435427052
54,173.118315261023,14401585,54.13,0.0191929514883733,4192,C9H18O3,174.12559443594,173.11831796906,1,0,-1,-0.0156426930153571
57,175.040055815805,2542695.8,7.9,0.00338864348188692,4294,C10H8O3,176.04734411524,175.04006764836,1,0,-1,-0.0675991241212951
